track_name,track_artist,language,playlist_genre,playlist_subgenre,genre_encoded,language_encoded,beta_vae_kmeans_cluster,autoencoder_kmeans_cluster,pca_kmeans_cluster,umap_1,umap_2
Aamar Bhalobasar Rajprasade,Manna Dey,bn,Adhunik Bangla,Romantic Modern,0,0,8,4,7,-1.2729495,7.9510317
Aaj Milan Tithir Purnima Chand,Kishore Kumar,bn,Bangla Film,Romantic Retro,1,0,9,4,7,0.21391933,8.493775
Jakhan Keu Amake Pagol Bale,Manna Dey,bn,Adhunik Bangla,Philosophical Modern,0,0,5,7,9,8.360214,8.929479
Coffee Houser Sei Addata Aaj Aar Nei,Manna Dey,bn,Adhunik Bangla,Urban Nostalgia,0,0,12,7,9,9.510435,9.031001
Chokher Jaler Hoyna Kono Rang,Kishore Kumar,bn,Adhunik Bangla,Melancholic Modern,0,0,8,9,0,-0.5901705,7.177166
Chirodini Tumi Je Aamar- Male,Kishore Kumar,bn,Bangla Film,Romantic Film Ballad,1,0,0,7,9,0.67553574,6.4673986
Jani Tomar Premer Jogyo Ami To Noi,Manna Dey,bn,Adhunik Bangla,Melancholic Modern,0,0,11,2,10,3.4842448,9.254383
Bandhagharer Andhakare,Asha Bhosle|Kishore Kumar,bn,Adhunik Bangla,Philosophical Modern,0,0,9,4,7,-0.49020836,8.3420725
O Chand Samle Rakho Jochhnake,Manna Dey,bn,Adhunik Bangla,Romantic Modern,0,0,8,0,5,-1.8905329,6.697908
Na Na Na Kachhe Esona,Asha Bhosle|S. P. Balasubrahmanyam,bn,Bangla Film,Playful Romantic,1,0,8,0,5,-1.4387678,6.930438
Sundari Go Dohai Dohai,Manna Dey,bn,Bangla Film,Playful Folk-Film,1,0,0,9,12,-0.011495396,6.0777917
Asha Chhilo Bhalobasa Chhilo,Kishore Kumar,bn,Adhunik Bangla,Melancholic Modern,0,0,8,0,5,-1.2340188,7.1695232
Hoyto Amake Karo Mone,Kishore Kumar,bn,Adhunik Bangla,Romantic Modern,0,0,11,12,5,3.343459,8.280259
Mone Porle,Arijit Singh,bn,Adhunik Bangla,Romantic Modern,0,0,0,7,9,-1.7477338,5.5111694
Gunjane Dole Je Bhramar,Asha Bhosle|Kishore Kumar,bn,Bangla Film,Romantic Duet,1,0,3,8,3,-3.3882322,3.9155416
Phulkali Re Phulkali,Asha Bhosle|Kishore Kumar,bn,Bangla Film,Light Romantic,1,0,0,9,12,0.3750448,6.031523
Keno Re Tui Chorli,Kishore Kumar,bn,Adhunik Bangla,Melancholic Modern,0,0,3,8,3,-3.0462859,3.6009283
"Rangini Kato Mon, Mon Dite Chay",Manna Dey,bn,Adhunik Bangla,Romantic Modern,0,0,6,0,5,0.2887102,6.886165
Bolchi Tomar Kane Kane- Female,Lata Mangeshkar,bn,Bangla Film,Romantic Solo,1,0,11,7,9,5.2676005,9.387807
Din Khon Mapa Ache,Arijit Singh,bn,Adhunik Bangla,Romantic Modern,0,0,9,11,10,0.5581171,9.2137
Lalita Go Oke Aaj Chole Jete Bal Na,Manna Dey,bn,Bangla Film,Emotional Retro,1,0,6,8,7,1.6334757,7.7599535
Prithibi Bodle Gechhe,Kishore Kumar,bn,Adhunik Bangla,Philosophical Modern,0,0,11,2,2,4.516661,8.97515
Ek Tanete Jemon Temon,Kishore Kumar|Swapan Chakraborty,bn,Bangla Folk,Folk-inspired Light,2,0,6,9,5,1.790904,7.195672
Aaj Theke Aar Bhalobasar,Kishore Kumar,bn,Adhunik Bangla,Breakup Modern,0,0,6,11,5,0.3187212,6.9641886
Hridayer Gaan Shikhe To Gaay Go Sabai,Manna Dey,bn,Adhunik Bangla,Philosophical Modern,0,0,11,4,2,3.4070976,9.220333
E Gaane Prajapati (Stereo),Sandhya Mukherjee,bn,Bangla Film,Light Romantic,1,0,11,2,10,4.048778,8.58273
Chhero Na Chhero Na Haath,Kishore Kumar|Sabina Yasmeen,bn,Bangla Film,Romantic Duet,1,0,9,4,0,0.5620901,9.232687
Ami Cheye Cheye Dekhi,Shyamal Mitra,bn,Adhunik Bangla,Romantic Modern,0,0,8,12,5,-1.0086757,7.2040133
Dole Dodul Dole Jhulana,Manabendra Mukherjee|Shyamal Mitra,bn,Bangla Film,Semi-Classical Film,1,0,13,11,3,-2.5462763,5.62228
Tomay Porechhe Mone,Kishore Kumar,bn,Adhunik Bangla,Romantic Modern,0,0,9,12,7,0.5023381,8.338176
Mangaldeep Jwele (Part 1),Lata Mangeshkar|Others,bn,Devotional,Puja Spiritual,5,0,2,7,9,5.2977595,9.337565
Shono Mon Boli Tomay,R. D. Burman,bn,Adhunik Bangla,Philosophical Modern,0,0,8,4,7,-1.0679045,7.965168
Tora Je Ja Bolish,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Playful,7,0,0,9,12,-1.1566331,5.9189997
Chirodini Tumi Je Aamar- Female,Asha Bhosle,bn,Bangla Film,Romantic Film Ballad,1,0,0,7,9,-1.668509,5.7474027
Aamar Swapna Je,Lata Mangeshkar|Kishore Kumar,bn,Bangla Film,Romantic Retro,1,0,6,7,9,1.3828253,7.578269
Ka Phonta Chokher Jal Phelechho,Manna Dey,bn,Adhunik Bangla,Melancholic Modern,0,0,6,9,12,1.0017439,7.0895104
Katoi Ranga Dekhi Duniyay,Amar Pal,bn,Bangla Film,Comic Satire,1,0,8,2,0,-1.5244638,7.500067
Bhalo Bashi Bhalo Bashi,Amit Kumar|Kavita Krishnamurthy,bn,Rabindra Sangeet,Tagore Romantic,7,0,8,12,0,-2.4500573,6.5733347
Sandhya Belay Tumi Ami,Asha Bhosle,bn,Adhunik Bangla,Romantic Modern,0,0,0,9,12,0.5295861,6.4028378
Chole Jete Jete Din,Lata Mangeshkar,bn,Adhunik Bangla,Melancholic Modern,0,0,13,8,3,-1.6582597,5.374861
Bulbul Pakhi Maiana,Antara Chwdhury,bn,Children's Music,Children's Rhyme,4,0,6,4,7,1.3500261,8.09931
Janmadin,Kishore Kumar,bn,Children's Music,Birthday Song,4,0,8,8,10,-2.0625224,7.2235665
Ami Jamini Tumi Shashi Hey,Manna Dey,bn,Bangla Film,Romantic Semi-Classical,1,0,9,12,7,1.2588564,8.242551
Ami Taar Thikana Rakhini,Manna Dey,bn,Adhunik Bangla,Romantic Modern,0,0,6,4,7,1.225636,7.8841863
Aar Ki Tomay Chharchhi,Asha Bhosle|R. D. Burman,bn,Adhunik Bangla,Romantic Modern,0,0,0,12,5,0.15731314,6.0322156
Bom Bhole,Kishore Kumar,bn,Devotional,Shiva Devotional,5,0,8,9,7,-0.80083674,7.1377077
Gahan Megher Chhaya Ghanay,Manna Dey,bn,Adhunik Bangla,Monsoon Modern,0,0,9,8,10,0.41676778,8.147723
Kato Naree Achhe E Gokule,Asha Bhosle|Kishore Kumar|Tanuja,bn,Bangla Film,Comic Folk-Film,1,0,9,2,0,0.45209906,8.5432205
Karo Keu Naiko Aami,Kishore Kumar,bn,Adhunik Bangla,Melancholic Modern,0,0,3,0,12,-2.8617342,4.3023014
Balo Ki Achhe Go,R. D. Burman,bn,Bangla Film,Romantic Duet,1,0,13,11,3,-2.9273872,5.1687884
Ami Gaan Shonabo,Hemant Kumar,bn,Adhunik Bangla,Light Modern,0,0,3,12,5,-2.4081464,3.7591064
Na Mon Lage Na,Lata Mangeshkar,bn,Bangla Film,Romantic Retro,1,0,3,0,12,-2.9952378,4.1246023
Najar Diyo Na,Kishore Kumar,bn,Adhunik Bangla,Playful Modern,0,0,6,11,10,0.81400746,7.19842
Mon Janala Khule Dena,Kishore Kumar,bn,Adhunik Bangla,Romantic Modern,0,0,13,4,7,-2.3951285,6.400517
Pora Banshi Shunle E Mon,Asha Bhosle,bn,Adhunik Bangla,Folk-inspired Modern,0,0,13,0,12,-2.96945,4.7983937
Amar Deep Nebhano Raat,Kishore Kumar,bn,Adhunik Bangla,Melancholic Modern,0,0,13,0,5,-2.1263552,4.8372107
O Mor Moyna Go,Lata Mangeshkar,bn,Bangla Folk,Folk Song,2,0,13,0,5,-1.5750215,6.0421624
Abhimane Chole Jeo Na,Manna Dey,bn,Adhunik Bangla,Romantic Modern,0,0,13,0,12,-3.2687666,4.3495936
Prem Baro Madhur,Kishore Kumar,bn,Adhunik Bangla,Romantic Modern,0,0,11,2,0,3.558971,9.17731
Na Na Na Aaj Raate Aar,Manna Dey,bn,Bangla Film,Playful Romantic,1,0,3,8,3,-3.3911564,3.8098285
Sedino Akashe Chhilo Kato Tara,Kishore Kumar,bn,Adhunik Bangla,Nostalgic Modern,0,0,6,9,7,0.9810305,7.4466476
Bhuter Raja Dilo Bor,Anup Ghoshal|Rabi Ghosh,bn,Children's Music,Fantasy Film Song,4,0,9,2,10,0.78985435,8.831701
Naam Amar Kishore Kumar Ganguly,Kishore Kumar,bn,Adhunik Bangla,Tribute Song,0,0,2,7,9,5.8129697,9.689601
Bhoy Dekhas Na (Male) Voice & Guitars,Arijit Singh,bn,Adhunik Bangla,Acoustic Modern,0,0,9,7,9,0.052662395,7.6789904
Hoyto Tomari Janya,Manna Dey,bn,Bangla Film,Romantic Film Song,1,0,6,12,0,0.6094466,7.7818074
Piya Bholo Abhimaan,Ajoy Chakrabarty,bn,Bangla Film,Romantic Retro,1,0,9,7,9,0.2013349,7.6478376
Ami Nei Ami Nei,Kishore Kumar,bn,Adhunik Bangla,Melancholic Modern,0,0,6,0,5,0.9285869,7.4385934
Shono Mon Boli Tomay,R. D. Burman,bn,Adhunik Bangla,Philosophical Modern,0,0,9,12,10,0.42345998,8.160831
Hai Hai Ki Herilam,Utpalendu Chowdhury,bn,Bangla Folk,Folk Ballad,2,0,9,12,5,0.47429755,8.353337
Kolkata Kolkata,Bappi Lahiri,bn,Bangla Film,City Travel,1,0,6,2,10,1.478877,7.499137
Gharete Bhramar Elo Gunguniye,Arundhati Holme Chowdhury,bn,Adhunik Bangla,Folk-inspired Modern,0,0,8,9,0,-0.303335,7.3067656
Mor Bhabanare Ki Haoway Matalo,Hemant Kumar,bn,Rabindra Sangeet,Tagore Nature,7,0,13,8,10,-3.084481,4.738817
Ami Ek Jajabar,Bhupen Hazarika,bn,Adhunik Bangla,Wanderer Song,0,0,8,4,7,-1.8327291,7.346488
Dekhore Nayan Melay,Anup Ghoshal,bn,Bangla Folk,Folk Ballad,2,0,8,4,7,-1.5184418,7.304744
Ek Je Chhilo Raja,Anup Ghoshal|Rabi Ghosh,bn,Children's Music,Story Song,4,0,13,0,12,-2.9232578,5.232681
Ei Meghla Dine Ekla,Hemant Kumar,bn,Adhunik Bangla,Monsoon Modern,0,0,8,9,12,-1.4454902,6.587494
Ami Pathbhola Ek Pathik Esechhi (Duet),Kanika Banerjee|Suchitra Mitra|Hemant Kumar,bn,Bangla Film,Romantic Duet,1,0,8,11,10,-1.4754953,6.557885
Shudhu Bhalobasha Diye,Hemant Kumar,bn,Adhunik Bangla,Romantic Modern,0,0,0,0,5,0.38963914,6.4501104
Deke Deke Kato,R. D. Burman,bn,Bangla Film,Romantic Retro,1,0,13,4,7,-2.7576358,6.0898285
Manush Manusher Jannya,Bhupen Hazarika,bn,Bangla Patriotic,Humanist Song,3,0,9,12,5,0.6524638,8.442318
Aha Ki Ananda,Anup Ghoshal,bn,Children's Music,Fantasy Film Song,4,0,13,4,3,-3.0311997,5.8534074
Darjeeling Jatra,R. D. Burman,bn,Children's Music,Travel Comic,4,0,0,12,7,-0.1781063,7.1309843
Moner Manush :- (Mon Jakhan Jagli Nare and Milan Habe Kata Dine),Dohar,bn,Bangla Folk,Lalon Baul,2,0,0,7,9,0.4313691,5.9982014
Katha Diye Ele Na,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,8,9,7,-2.091895,6.740984
Amar Shilpi Tumi Kishore Kumar,Kumar Sanu,bn,Bangla Film,Romantic Playback,1,0,2,7,9,6.057363,9.614245
Champa Chameli Golaperi Baage,Manna Dey|Sandhya Mukherjee,bn,Bangla Film,Duet Playback,1,0,9,12,0,0.30524144,7.6349645
Nishidin Nishidin,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,3,0,5,-2.6002774,4.3272886
Jete Jete Pathe Holo,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0,9,4,10,-0.12351539,8.738048
Saat Bhai Champa Jagore,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,13,12,3,-3.1434596,4.196913
Antabihin Kate Na Aar Jeno (Baro Shunya Shunya),Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,11,2,10,3.1292825,9.23736
Ei Mom Jochhonay Ango Bhijiye,Aarti Mukherji,bn,Bangla Film,Romantic Playback,1,0,9,2,0,0.72650313,9.146531
Tomar Pujar Chhaley,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Devotional,7,0,11,9,0,2.7670562,8.389957
Tomate Amate Dekha Hoyechhilo,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0,3,8,3,-2.4214046,3.6894586
Jete Jete Pathe Holo,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0,8,12,7,-1.5319599,7.6190453
Ei Sundar Swarnali Sandhaye,Geeta Dutt,bn,Bangla Film,Romantic Playback,1,0,8,4,7,-1.225489,7.6928678
Mayur Aakaash,Bappi Lahiri,bn,Bangla Film,Romantic Playback,1,0,6,8,7,0.5805719,6.482364
Olir Katha Shune Bakul Hase,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,13,11,3,-3.0814729,4.2298574
Aebar Pujoye Chaaye,Alka Yagnik,bn,Bangla Film,Romantic Playback,1,0,11,11,9,2.7563562,8.659948
Jani Na Aaj Je Apon,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,6,4,7,1.5076414,8.277635
Takhon Tomar Ekush Bachhar,Aarti Mukherji,bn,Bangla Film,Romantic Playback,1,0,13,0,5,-1.7308925,5.548655
Nagor Amar Kancha Peerit,Asha Bhosle|Shailender Singh,bn,Bangla Film,Duet Playback,1,0,9,4,10,-0.1328784,8.7380495
Oi Dustu Chokher Mishti Hasi,Sandhya Mukherjee|Hemant Kumar,bn,Bangla Film,Duet Playback,1,0,13,0,5,-2.6228468,4.893463
Mor Bina Othe Kon Sure Baji,Swagatalakshmi Dasgupta,bn,Rabindra Sangeet,Tagore Classic,7,0,2,2,2,5.742465,8.959336
Phire Eso Anuradha,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0,13,12,3,-3.015985,4.5472
Sajani Go Premer Katha,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0,8,9,7,-1.5137484,7.0433326
Jete Dao Amay Dekona,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,13,8,3,-1.9276117,5.191916
Jibane Ki Pabo Na,Manna Dey,bn,Bangla Film,Romantic Playback,1,0,6,9,12,1.9820182,7.316692
Tolo Chhinnabeena,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,6,9,0,1.9766457,7.304717
Kalo Meyer Payer Tolaaye,Panna Lal Bhattacharjee,bn,Devotional,Shyama Sangeet,5,0,13,11,0,-2.8438015,5.226622
O Amar Sajani Go,Kishore Kumar|Lata Mangeshkar,bn,Bangla Film,Duet Playback,1,0,3,7,9,-3.146888,3.5373244
Chhande Chhande Gaane Gaane,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,13,11,10,-2.950191,6.0315394
Badhu Kon Alo (Part 1),Arundhati Holme Chowdhury,bn,Rabindra Sangeet,Tagore Nature,7,0,6,7,9,1.7224122,7.8761506
Eshe Hirok Deshe,Anup Ghoshal,bn,Children's Music,Comic Song,4,0,3,8,3,-3.1234376,3.4931567
Jana - Gana - Mana - Orchestra,Akashvani Vadya Vrinda,bn,Children's Music,Comic Song,4,0,3,0,5,-3.4713545,3.4785292
O Tui Nayan Pakhi Amar Re,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,9,2,10,1.5903969,8.875256
Aasbo Aar Ekdin Aaj Jai,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,13,0,5,-1.6831797,5.471371
Chokhe Chokhe Katha Balo,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,9,4,3,0.47373357,7.876614
Phire Eso Anuradha,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0,0,9,12,0.49333122,6.4305396
Ami Dur Hote Tomarei Dekhechhi,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,9,4,7,0.6060415,8.392781
Hey Nutan Dekha Dik Aar-Bar,Swagatalakshmi Dasgupta,bn,Rabindra Sangeet,Tagore Classic,7,0,3,0,3,-2.5691361,3.7037551
Ek Je Chhilo Maachhi,Antara Chwdhury,bn,Children's Music,Children's Song,4,0,3,0,3,-2.8402982,3.274218
Ami Mon Diye Chi,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,11,7,9,4.092698,8.923585
Bidhir Bandhan Katbe Tumi,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,9,12,10,1.9815645,8.914967
Maharaja Tomarey Shelam,Anup Ghoshal|Rabi Ghosh,bn,Children's Music,Fantasy Song,4,0,8,4,0,-1.5078557,6.2908235
Ami Je Jalsaghare (Stereo),Sandhya Mukherjee,bn,Bangla Film,Romantic Playback,1,0,9,11,10,0.2767426,8.085614
Aamar Eche Korche Bhalo,Bappi Lahiri|Asha Bhosle,bn,Bangla Film,Duet Playback,1,0,13,7,9,-2.805409,4.5480294
Balo Ki Achhe Go,R. D. Burman,bn,Bangla Film,Romantic Duet,1,0,13,12,3,-3.1114788,4.6135297
Tomari Chalar Pathe,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,8,8,5,-1.2973899,7.2586756
Ore Baba Dekho Cheye,Anup Ghoshal,bn,Children's Music,Comic Song,4,0,12,2,2,8.871419,8.381504
Keno Kichhu Katha Balo Na,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,8,4,7,-0.9247573,8.146492
Aayre Chhute Aai,Antara Chwdhury,bn,Children's Music,Comic Song,4,0,3,0,12,-2.4571865,3.8288562
Je Khanei Thako Sukhe Thako,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,0,7,12,0.69216067,6.7712173
Dekhle Kemon Tumi Khel,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,11,7,9,2.1614318,8.745977
Aei Gaaneri Shure Shure,Mohammad Aziz,bn,Bangla Film,Romantic Playback,1,0,8,7,9,-1.1427581,6.854147
Phire Elam Dure Giye,Asha Bhosle|R. D. Burman,bn,Bangla Film,Duet Playback,1,0,6,4,7,0.95214224,7.538591
Pa Ma Ga Re Sa,Lata Mangeshkar,bn,Devotional,Spiritual,5,0,6,2,10,0.5638963,7.7690725
Na Dir Dir Da,Antara Chwdhury,bn,Children's Music,Comic Song,4,0,13,8,3,-3.3705254,4.2524767
Swapna Mahale Ajo Nishirate,Bappi Lahiri,bn,Bangla Film,Romantic Playback,1,0,0,9,12,-0.105357155,5.8888197
Nadir Paare Uthchhe Dhonya,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0,13,7,9,-2.2045538,5.594252
Keu Jane Na Tumi Je Amar,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0,2,2,2,7.30692,9.288068
Ore Amar Mon,Dwijen Mukherjee,bn,Adhunik Bangla,Romantic Modern,0,0,6,9,7,1.4529498,7.95383
Bujhbe Na Keu Bujhbe Na,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,0,8,3,-0.9029604,5.53487
Taare Bole Diyo,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,3,8,3,-3.2539725,3.1350107
Aami Ekjon Saanto Sishto,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,0,0,5,0.52234656,6.383593
Halla Cholechhe Juddhe,Kamu Mukherjee|Jahor Roy,bn,Children's Music,Comic Song,4,0,6,2,12,2.1512458,7.828403
"O,sona Byang",Antara Chwdhury,bn,Children's Music,Children's Song,4,0,9,11,10,0.62864786,9.244266
Ki Ashai Bandhi Khelaghar,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,6,11,2,1.7741232,8.536884
Chand Aar Shurjo,Alka Yagnik,bn,Bangla Film,Romantic Playback,1,0,5,2,1,7.409276,9.352856
Jana Ajana Pathey Cholechhi,Kishore Kumar|Asha Bhosle,bn,Bangla Film,Duet Playback,1,0,13,8,10,-1.6254576,5.8005314
Aay Aay Chhute Aay,Bhupen Hazarika,bn,Adhunik Bangla,Romantic Modern,0,0,3,8,3,-3.0353868,3.6284664
Oi Mahasindhur Opar Theke,Manna Dey,bn,Bangla Film,Romantic Playback,1,0,3,8,3,-3.0815797,3.7059364
Ei Chhande Chhande Bhara,Sandhya Mukherjee|Hemant Kumar,bn,Bangla Film,Duet Playback,1,0,8,12,0,-1.6231778,7.166101
Dinguli Mor,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Nostalgia,7,0,11,2,10,2.0023077,8.488815
Hridayer Gaan Shikhe To Gaay Go Sabai,Manna Dey,bn,Adhunik Bangla,Philosophical Modern,0,0,0,12,5,-0.9011137,5.4297013
Mone Pore Ruby Roy,R. D. Burman,bn,Adhunik Bangla,Urban Nostalgia,0,0,13,8,12,-2.8544083,4.2713428
Tumi Jodi Thaktey,Kumar Sanu,bn,Bangla Film,Romantic Playback,1,0,3,8,3,-3.1561542,3.3445976
Mor Bhabonare (Duet),Saptarshi|SAHANA BAJPEI,bn,Rabindra Sangeet,Tagore Classic,7,0,5,2,2,7.741233,9.14653
Namo Mata Saraswati,Sandhya Mukherjee|Tarun Banerjee|Aarti Mukherji,bn,Bangla Film,Duet Playback,1,0,13,7,9,-1.7864543,5.670125
O Prajapati Prajapati,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,0,8,3,-1.3423902,5.45982
Sagar Sangame,Bhupen Hazarika,bn,Adhunik Bangla,Romantic Modern,0,0,9,11,10,0.7816121,8.685182
Katha Dao Aabar Asbe,Manna Dey,bn,Bangla Film,Romantic Playback,1,0,13,11,3,-2.5406885,5.3788853
Tomake Lagche Bhari Chena,Bappi Lahiri|Alka Yagnik,bn,Bangla Film,Duet Playback,1,0,13,7,3,-2.9072044,5.785559
Esho Go Jweley,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Classic,7,0,3,8,3,-3.2977846,3.2646704
Amar Sakal Raser Dhara,Hemant Kumar|Aarti Mukherji,bn,Bangla Film,Duet Playback,1,0,3,0,12,-3.0862215,3.850609
"Ore Bondhure, Ore Sathi Re",Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,0,8,5,-0.38246357,5.7292714
Na Bole Esechhi,Aarti Mukherji,bn,Bangla Film,Romantic Playback,1,0,11,9,0,3.547366,8.37569
Ja Ja Ja Bhule Ja,Lata Mangeshkar,bn,Bangla Film,Melancholy Playback,1,0,0,9,12,-0.38480702,5.8114457
Keno Je Kandao Bare Bare,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,11,9,12,3.296542,8.22889
E Ki Chanchalata Jage,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,3,12,3,-3.4014096,3.2796893
Moner Janala Dhore Unki Diye,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,13,8,3,-2.3628955,5.829584
Ogo Moner Duyare Danriye Theko Na,Aarti Mukherji,bn,Bangla Film,Romantic Playback,1,0,11,2,2,3.891201,8.3565235
Kichhu To Chahini Ami,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,8,9,12,-1.6752474,6.34211
Ektu Baso Chole Jeo Na,Asha Bhosle,bn,Bangla Film,Melancholy Playback,1,0,0,8,7,-0.74150467,6.1012244
Akash Keno Daake,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,11,2,10,4.2507834,8.6949005
Aakash Bhara,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Nature,7,0,13,4,7,-2.8543937,5.1018953
Dhoronako Shantrimoshai,Anup Ghoshal,bn,Children's Music,Comic Song,4,0,3,0,5,-2.5250635,4.1682987
Aaj Jiban Khunje Pabi,Bhupen Hazarika,bn,Adhunik Bangla,Romantic Modern,0,0,3,0,12,-3.051655,3.1175642
Bhoy Dekhas Na (The Agnee Version),Mohan Kannan,bn,Adhunik Bangla,Romantic Modern,0,0,8,7,9,-0.16392808,7.528578
Ami Sahebo Noi Golamo Noi,Hemant Kumar,bn,Bangla Film,Melancholy Playback,1,0,8,4,7,-1.2015908,7.643194
Hayre Pora Banshi,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,8,9,7,-0.9283255,7.3360786
Tomader Aasare Aaj,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,8,2,0,-1.1498536,7.5048265
Amar Mon Manne Na,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,0,8,3,-0.0110498145,6.0230837
Gun Gun Kare Mon,Amit Kumar|Asha Bhosle,bn,Bangla Film,Duet Playback,1,0,9,9,12,0.13066566,7.55303
Phule Gandha Nei,Asha Bhosle,bn,Bangla Film,Melancholy Playback,1,0,13,9,12,-1.3663628,5.0216193
Katha Hoyechhilo,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,11,7,2,3.8841755,8.438152
Ami Dukkhake Sukh Bhebe,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,8,11,0,-1.5218211,7.013917
E Monihar Amay,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Classic,7,0,13,9,7,-2.980734,5.0281
