track_name,language,playlist_genre,playlist_subgenre,track_artist
Motor City Madhouse - Edit,en,rock,hard rock,Ted Nugent
Tari:- (Ebar Tor Mora Gange and Samal Samal Samal),bn,Bangla Folk,Regional Folk,Dohar
Tell Your Friends,en,r&b,neo soul,The Weeknd
Time of Dying,en,rock,hard rock,Three Days Grace
West End Girls - 2001 Remaster,en,rock,permanent wave,Pet Shop Boys
Pather Shes Kothay,bn,Bangla Film,Romantic Playback,Hemant Kumar
Shamla Gaanyer Kajla Meye,bn,Bangla Film,Duet Playback,Hemant Kumar|Aarti Mukherji
slow motion,en,pop,indie poptimism,flor
Menokaa Maathaay Dilo Ghomtaa,bn,,Baul,Purna Das Baul
But God,en,r&b,neo soul,Isaac Carree
Homicide (feat. Eminem),en,rap,hip hop,Logic
Tomar Akash Duti Chokhe,bn,Adhunik Bangla,Romantic Modern,Nirmal Mishra
Aamar Bhalobasar Rajprasade,bn,Adhunik Bangla,Romantic Modern,Manna Dey
Dontcha,en,r&b,neo soul,The Internet
Emotionless,en,r&b,hip pop,Drake
Morning Starship,en,rock,classic rock,Morrissey
Chhande Chhande Gaane Gaane,bn,Bangla Film,Romantic Playback,Asha Bhosle
"Aar Nai Re Bela, Namlo Chhaya",bn,Rabindra Sangeet,Tagore Classic,Sumitra Sen
Unstoppable,en,pop,indie poptimism,Paperwhite
Mone Pore Ruby Roy,bn,Adhunik Bangla,Urban Nostalgia,R. D. Burman
Funky Town,en,pop,post-teen pop,Lipps Inc.
Tumi Je Amar,bn,Bangla Film,Romantic Playback,Asha Bhosle
Gharete Bhramar Elo Gunguniye,bn,Adhunik Bangla,Folk-inspired Modern,Arundhati Holme Chowdhury
Hear Me Calling,en,rap,trap,Juice WRLD
Kato Madhur E Jibon,bn,,Romantic Playback,Kishore Kumar
Amar Mon Manne Na,bn,Bangla Film,Romantic Playback,Asha Bhosle
Fangirl,en,r&b,urban contemporary,Lil Peep
Get Down,en,rap,gangster rap,Nas
Eenie Meenie,en,latin,latin hip hop,Justin Bieber
Screwed Up,en,rap,southern hip hop,Ludacris
The One - Radio Edit,en,r&b,neo soul,Jorja Smith
Jani Na Aaj Je Apon,bn,Bangla Film,Romantic Playback,Asha Bhosle
Tumi Jodi Thaktey,bn,Bangla Film,Romantic Playback,Kumar Sanu
O Mor Moyna Go,bn,Bangla Folk,Folk Song,Lata Mangeshkar
Mon Tomar Ei Bhram Gelo Na,bn,Devotional,Spiritual,Panna Lal Bhattacharjee
Otho Otho Suryai Re,bn,,Romantic Playback,Lata Mangeshkar
Step by Step,en,r&b,new jack swing,New Kids On The Block
Hello,en,pop,electropop,Adele
Takhon Tomar Ekush Bachhar,bn,Bangla Film,Romantic Playback,Aarti Mukherji
Ami Tomar Preme Habo Sabar,bn,,Tagore Romantic,Sagar Sen
Saat Sakaale,bn,Bangla Film,Romantic Playback,Lata Mangeshkar
Andhakarer Ei Raater Sheshe,bn,Bangla Film,Romantic Playback,Kishore Kumar
High School Dropout,en,pop,electropop,Neon Dreams
Ore Mon-Mayana,bn,Bangla Film,Romantic Playback,Lata Mangeshkar
Ei Purnima Raat,bn,,Romantic Playback,Hemant Kumar
BAD KID,en,rap,gangster rap,Night Lovell
Aar Nai Je Deri,bn,Rabindra Sangeet,Tagore Classic,Chinmoy Chatterjee
Din Khon Mapa Ache,bn,Adhunik Bangla,Romantic Modern,Arijit Singh
Godhuli Gaganey,bn,,Tagore Classic,Debabrata Biswas
Forever Live My Name,en,latin,latin hip hop,Lil Rob
Phire Elam Dure Giye,bn,Bangla Film,Duet Playback,Asha Bhosle|R. D. Burman
In The Lap Of The Gods... Revisited - Remastered 2011,en,rock,album rock,Queen
Du Chokhe Brishti,bn,Bangla Film,Romantic Playback,Alka Yagnik
Can't Feel My Face,en,pop,electropop,The Weeknd
Khub Chena Chena Mukhkhani,bn,Bangla Film,Romantic Playback,Asha Bhosle
One Day,en,rap,southern hip hop,UGK
Sundari Go Dohai Dohai,bn,Bangla Film,Playful Folk-Film,Manna Dey
Sunday Bloody Sunday - Remastered 2008,en,rock,classic rock,U2
Burden,en,r&b,neo soul,Foy Vance
Panic Room,en,edm,progressive electro house,Au/Ra
Bangla:- (Ami Bangla Mayer Chhele and Amar Sonar Bangla),bn,Bangla Folk,Regional Folk,Dohar
Amar Moner Ei Mayurmahale,bn,Bangla Film,Romantic Playback,Kishore Kumar
E Manihar Amay Nahi Saje,bn,Bangla Film,Romantic Playback,Hemant Kumar
3 Nights,en,latin,latin pop,Dominic Fike
Dinguli Mor,bn,Rabindra Sangeet,Tagore Nostalgia,Debabrata Biswas
End Of The Road,en,r&b,new jack swing,Boyz II Men
I Decided,en,r&b,neo soul,Liv Warfield
I Wonder if I Take You Home,en,r&b,new jack swing,Full Force
Still Alive,en,rock,hard rock,Prison
Lakshmiti Dohai Tomar,bn,Bangla Film,Romantic Playback,Asha Bhosle
Animals,en,pop,post-teen pop,Maroon 5
Aar Bilamba Noy,bn,Children's Music,Comic Song,Anup Ghoshal
Lean On (feat. MØ & DJ Snake) - Tiësto & MOTi Remix,en,pop,electropop,Major Lazer
Bhalobashar Moto Bhalo Kauke,bn,Bangla Film,Romantic Playback,Udit Narayan
Get to You Again,en,r&b,neo soul,Mac Ayres
Ek Baishakhe Dekha Holo Dujanay,bn,Bangla Film,Romantic Playback,Aarti Mukherji
O Tota Pakhi Re,bn,Adhunik Bangla,Romantic Modern,Nirmal Mishra
Slam,en,rap,gangster rap,Onyx
Ami Tomar Majhe Pelam Khunje,bn,Bangla Film,Romantic Playback,Hemant Kumar
Nijhum Nishithe,bn,Bangla Film,Romantic Playback,Hemant Kumar
Colors,en,r&b,hip pop,Black Pumas
Cough Syrup,en,pop,post-teen pop,Young the Giant
Bharat Amar Bharat Barsha,bn,Bangla Film,Romantic Playback,Manna Dey
Opare Thakbo Ami,bn,Bangla Film,Romantic Playback,Kishore Kumar
Almeda,en,r&b,neo soul,Solange
Watching The World,en,r&b,neo soul,Surahn
Sweet Emotion - Single Version,en,rock,hard rock,Aerosmith
Clan In Da Front,en,rap,southern hip hop,Wu-Tang Clan
Fractures,en,edm,pop edm,ILLENIUM
Sei Raate Raat Chhilo Purnima,bn,,Romantic Modern,Kishore Kumar
I Gotta Feeling,en,latin,latin hip hop,The Black Eyed Peas
Amar Andhar Bhubane,bn,Bangla Film,Romantic Playback,Kishore Kumar
Never Really Over - R3HAB Remix,en,pop,dance pop,Katy Perry
Supernatural,en,pop,indie poptimism,Apollo LTD
Nightrain,en,rock,album rock,Guns N' Roses
Mother - Fedde Le Grand Remix,en,pop,dance pop,Charlie Puth
Kaputt,en,pop,dance pop,Destroyer
Lovers on the Sun (feat. Sam Martin) - Stadiumx Remix,en,edm,big room,David Guetta
I'm Ready,en,r&b,new jack swing,Tevin Campbell
You & Me - Flume Remix,en,rap,trap,Disclosure
Ele Na Tumi Je,bn,Bangla Film,Romantic Playback,R. D. Burman
Where The Hood At,en,rap,gangster rap,DMX
All That I Am,en,r&b,urban contemporary,Joe
Tare Ami Chokhe Dekhini,bn,Adhunik Bangla,Mystical Modern,Kishore Kumar
O Pakhi Ure Aay,bn,,Romantic Playback,Asha Bhosle
Flick Of The Wrist - Remastered 2011,en,rock,album rock,Queen
Fireflies,en,pop,post-teen pop,Owl City
Black Horse And The Cherry Tree,en,rock,album rock,KT Tunstall
Kajol Kajol Chokhe,bn,Bangla Film,Duet Playback,Geeta Dutt|Hemant Kumar
Gaane Bhuban Bhoriye Debe,bn,Adhunik Bangla,Romantic Modern,Shyamal Mitra
"Ore Bondhure, Ore Sathi Re",bn,Bangla Film,Romantic Playback,Kishore Kumar
Spring Summer Feeling,en,r&b,neo soul,Jill Scott
For Life (feat. Clint Lowery),en,rock,hard rock,3 Years Hollow
Dure Akash Samiyanai,bn,,Melancholy Playback,Lata Mangeshkar
Mor Bina Othe Kon Sure Baji,bn,Rabindra Sangeet,Tagore Classic,Swagatalakshmi Dasgupta
Use Somebody,en,rock,classic rock,Kings of Leon
Chocolate Jesus,en,rock,permanent wave,Tom Waits
Not Gon' Cry,en,r&b,new jack swing,Mary J. Blige
Baro Asha Kore Esechhi Go,bn,Rabindra Sangeet,Tagore Classic,Arundhati Holme Chowdhury|Hemant Kumar
Coffee Houser Sei Addata Aaj Aar Nei,bn,Adhunik Bangla,Urban Nostalgia,Manna Dey
Rockstar (feat. DV8),en,edm,progressive electro house,Timmy Trumpet
Ek Tanete Jemon Temon,bn,Bangla Folk,Folk-inspired Light,Kishore Kumar|Swapan Chakraborty
I Need A Lover,en,rock,classic rock,John Mellencamp
Big Faces,en,rap,southern hip hop,Geto Boys
No Right To Love You - Acoustic,en,r&b,urban contemporary,Rhys Lewis
Ektu Baso Chole Jeo Na,bn,Bangla Film,Melancholy Playback,Asha Bhosle
Sanguine Paradise,en,rap,hip hop,Lil Uzi Vert
Now That We Found Love,en,r&b,new jack swing,Heavy D & The Boyz
Hail Mary,en,rap,gangster rap,2Pac
Aay Khuku Aay (Keta Na Somay),bn,Bangla Film,Duet Playback,Hemant Kumar|Sravanti Mazumder
"Ogo Kangal, Amare Kangal Karechho",bn,Rabindra Sangeet,Tagore Classic,Ritu Guha
Shudhu Bhalobasha Diye,bn,Adhunik Bangla,Romantic Modern,Hemant Kumar
Ami Premer Pather Pathik,bn,Bangla Film,Romantic Playback,Kishore Kumar
Women Who Look Like You (feat. Guapdad 4000),en,r&b,urban contemporary,JP Saxe
No Fear (feat. Donna Missal),en,edm,electro house,Rudimental
In the Air Tonight,en,rock,hard rock,Nonpoint
Ka Phonta Chokher Jal Phelechho,bn,Adhunik Bangla,Melancholic Modern,Manna Dey
We Are,en,rock,album rock,ONE OK ROCK
First Time - Gryffin Remix,en,edm,electro house,Kygo
Jabo Ki Jabo Na,bn,Bangla Film,Romantic Playback,Asha Bhosle
Titanium (feat. Sia),en,pop,post-teen pop,David Guetta
She Keno Amay,bn,Adhunik Bangla,Romantic Modern,Pankaj Udhas
CYANIDE,en,r&b,urban contemporary,Daniel Caesar
Klaanti Aamaar Kshamaa Koro,bn,Rabindra Sangeet,Tagore Classic,Debabrata Biswas
Naam Rekhechhi Bonolata,bn,Adhunik Bangla,Romantic Modern,Shyamal Mitra
Bristi Bristi Bristi,bn,Bangla Film,Romantic Playback,Lata Mangeshkar
Hey Mor Debota,bn,Rabindra Sangeet,Tagore Classic,Debabrata Biswas
Got 'Til It's Gone,en,r&b,new jack swing,Janet Jackson
Boom Boom Pow,en,pop,post-teen pop,The Black Eyed Peas
Easy Love - Original Mix,en,latin,tropical,Sigala
Keu Jane Na Tumi Je Amar,bn,Bangla Film,Romantic Playback,R. D. Burman
Ek Je Chhilo Maachhi,bn,Children's Music,Children's Song,Antara Chwdhury
Nei Sei Purnima Raat,bn,,Melancholy Playback,Asha Bhosle
Se To Elo Na,bn,Bangla Film,Romantic Playback,Kishore Kumar
Jabar Belay Pichhu Theke,bn,Bangla Film,Romantic Playback,Lata Mangeshkar
Ami Pathbhola Ek Pathik Esechhi (Duet),bn,Bangla Film,Romantic Duet,Kanika Banerjee|Suchitra Mitra|Hemant Kumar
Banya Banya E Aranya,bn,Bangla Film,Romantic Playback,Aarti Mukherji
Let Me Love You - Marshmello Remix,en,rap,trap,DJ Snake
Din Jaye Raat Jaye,bn,Devotional,Bhajan,Anuradha Paudwal
Jiya Manat Na - Thumree,bn,Bangla Film,Romantic Playback,Mahendra Kapoor
Jaubansarosinire,bn,Bangla Film,Romantic Playback,Hemant Kumar
Tolo Chhinnabeena,bn,Bangla Film,Romantic Playback,Asha Bhosle
Hail Mary,en,rap,gangster rap,2Pac
Make 'Em Say Ugh,en,rap,southern hip hop,Master P
Deep Nibhey Gechhey,bn,Rabindra Sangeet,Tagore Classic,Indrani Sen
Naari Charitra Bejaay Jatil,bn,Bangla Film,Romantic Playback,Kishore Kumar
Sloppy Seconds,en,pop,indie poptimism,Watsky
O Aamar Kandher Anchal,bn,Bangla Film,Romantic Playback,Asha Bhosle
Shono Go Dakhin Hawa,bn,Adhunik Bangla,Romantic Modern,S. D. Burman
Habuchandra Raja,bn,Children's Music,Fantasy Song,Antara Chwdhury
Ei Path Jodi Na Shes Hoy,bn,Bangla Film,Romantic Duet,Sandhya Mukherjee|Hemant Kumar
"Rangini Kato Mon, Mon Dite Chay",bn,Adhunik Bangla,Romantic Modern,Manna Dey
Jete Jete Pathe Holo,bn,Bangla Film,Romantic Playback,R. D. Burman
Ami Taar Thikana Rakhini,bn,Adhunik Bangla,Romantic Modern,Manna Dey
TRUE - Single Edit,en,pop,electropop,Spandau Ballet
Chainsmoking,en,pop,indie poptimism,Jacob Banks
Neighbour,en,pop,dance pop,Verses
Aaj Mon Cheyechhe,bn,Bangla Film,Romantic Playback,Lata Mangeshkar
Lovers on the Sun (feat. Sam Martin),en,edm,electro house,David Guetta
Swapna Mahale Ajo Nishirate,bn,Bangla Film,Romantic Playback,Bappi Lahiri
Emon Madhur Sandhyay,bn,Bangla Film,Romantic Playback,Asha Bhosle
Electricity,en,edm,pop edm,Culture Code
"Sakhi, Bhabana Kahare Bale",bn,Rabindra Sangeet,Tagore Romantic,Sumitra Sen
Sedino Akashe Chhilo Kato Tara,bn,Adhunik Bangla,Nostalgic Modern,Kishore Kumar
Danriye Achho Tumi Amar Gaaner O Paare,bn,Bangla Film,Romantic Playback,Sandhya Mukherjee
Don't Be Afraid,en,r&b,new jack swing,Aaron Hall
Mary Jane's Last Dance,en,rap,southern hip hop,Tom Petty and the Heartbreakers
do re mi,en,rap,hip hop,blackbear
Tomari Chalar Pathe,bn,Bangla Film,Romantic Playback,Asha Bhosle
Howl,en,rap,southern hip hop,Beware Of Darkness
Jhilik Jhilik Jhinuk,bn,Bangla Film,Romantic Playback,Lata Mangeshkar
Balo Ki Achhe Go,bn,Bangla Film,Romantic Duet,R. D. Burman
Tomate Amate Dekha Hoyechhilo,bn,Bangla Film,Romantic Playback,R. D. Burman
Ei Chhotto Chhotto Paye,bn,,Duet Playback,Aarti Mukherji|Pratima Banerjee
The Wrong Ones,en,latin,latin hip hop,JC Stewart
Steambreather,en,rock,hard rock,Mastodon
Little Do You Know,en,edm,pop edm,Alex & Sierra
Phire Eso Anuradha,bn,Bangla Film,Romantic Playback,R. D. Burman
Do You Think About Me,en,rap,gangster rap,50 Cent
Before You Go,en,pop,post-teen pop,Lewis Capaldi
Centerfold,en,rock,classic rock,The J. Geils Band
Anything Could Happen,en,pop,dance pop,Ellie Goulding
Perfect Strangers,en,pop,indie poptimism,Jonas Blue
Back on the Chain Gang,en,rock,permanent wave,Morrissey
Molly,en,rap,gangster rap,Tyga
Between The Devil And The Deep Blue Sea,en,rock,permanent wave,George Harrison
Saat Bhai Champa Jagore,bn,Bangla Film,Romantic Playback,Lata Mangeshkar
Amra Korbo Joy,bn,Bangla Patriotic,Inspirational Anthem,Bhupen Hazarika|Chorus
Jadi Akash Hoto Ankhi,bn,Bangla Film,Romantic Playback,Aarti Mukherji
Tears Don't Fall,en,rock,hard rock,Bullet For My Valentine
Emotion,en,r&b,hip pop,Mia Rodriguez
Payal Baje Chham Chham Chham - Thumree,bn,Bangla Film,Romantic Playback,Mahendra Kapoor
Pora Banshi Shunle E Mon,bn,Adhunik Bangla,Folk-inspired Modern,Asha Bhosle
Remember the Name (feat. Styles of Beyond),en,rock,hard rock,Fort Minor
No Denying,en,r&b,urban contemporary,J Hus
Kobe Je Kothay,bn,,Romantic Playback,Bhupinder Singh
Rui Katla Ilish Bhebe,bn,,Romantic Modern,Sabina Yasmeen
Champa Chameli Golaperi Baage,bn,Bangla Film,Duet Playback,Manna Dey|Sandhya Mukherjee
Kine De Reshmi Churi,bn,Bangla Film,Romantic Playback,Asha Bhosle
Calypso,en,latin,latin hip hop,Luis Fonsi
Malibu,en,pop,dance pop,Miley Cyrus
Never Know,en,r&b,urban contemporary,6LACK
Monta Aamar Hariye Geche,bn,,Melancholy Playback,Vijayta Pandit
Every Little Thing I Do - Remix,en,r&b,new jack swing,Soul For Real
Je Khanei Thako Sukhe Thako,bn,Bangla Film,Romantic Playback,Asha Bhosle
Phire Eso Anuradha,bn,Bangla Film,Romantic Playback,R. D. Burman
Ghost,en,r&b,neo soul,Lianne La Havas
Chokhe Chokhe Katha Balo,bn,Bangla Film,Romantic Playback,Asha Bhosle
2 MUCH (feat. 24hrs) (feat. 24hrs),en,rap,trap,Flosstradamus
Akaraney Akaley Mor,bn,Rabindra Sangeet,Tagore Classic,Debabrata Biswas
Anek Jamano Byatha,bn,Bangla Film,Romantic Playback,Kishore Kumar
Haowa Megh Saraye Phul Jharaye,bn,Bangla Film,Romantic Playback,Kishore Kumar
Work,en,rap,southern hip hop,Rihanna
Banshi Shune Ki,bn,,Romantic Playback,Asha Bhosle
Faucet Failure,en,rap,gangster rap,Ski Mask The Slump God
Smooth (feat. Rob Thomas),en,rock,permanent wave,Santana
Dekhle Kemon Tumi Khel,bn,Bangla Film,Romantic Playback,Kishore Kumar
The Next Time I Fall (with Amy Grant),en,rock,album rock,Peter Cetera
Dongshili Tui,bn,,Romantic Playback,Lata Mangeshkar
Badhu Kon Alo (Part 2),bn,Rabindra Sangeet,Tagore Nature,Arundhati Holme Chowdhury
Madhobi Modhupey Holo Mitali,bn,Bangla Film,Romantic Playback,Aarti Mukherji
Ketechhe Ekela Biraher Bela,bn,,Tagore Nostalgia,Chinmoy Chatterjee
Woman,en,rock,hard rock,Wolfmother
Ruby,en,rock,permanent wave,Kaiser Chiefs
Only Can Get Better (feat. Daniel Merriweather),en,latin,tropical,Silk City
Sea Sick,en,rap,gangster rap,Fat Nick
Burn - Original Mix,en,edm,electro house,KSHMR
Amar Balar Kichhu Chhilo Na,bn,Adhunik Bangla,Romantic Modern,Haimanti Shukla
Tobu Bole Keno Sahasai,bn,Bangla Film,Romantic Playback,Kishore Kumar
Paradise,en,pop,indie poptimism,Rex Orange County
Jafrani Rang Akashe,bn,Bangla Film,Romantic Playback,Asha Bhosle
everything i wanted,en,pop,dance pop,Billie Eilish
Akash Keno Daake,bn,Bangla Film,Romantic Playback,Kishore Kumar
Riot Rhythm,en,rock,album rock,Sleigh Bells
Thief,en,rap,trap,Ookay
Treat You Better,en,pop,dance pop,Shawn Mendes
Ami Tomay Jato Shuniyechhilem Gaan,bn,Bangla Film,Romantic Playback,Hemant Kumar
Bhola Mon Moner Katha,bn,Adhunik Bangla,Romantic Modern,Shyamal Mitra
Brightest Light - Radio Edit,en,pop,indie poptimism,FDVM
Hay Re Kala Eki Jwala,bn,Bangla Film,Romantic Playback,Asha Bhosle
Charon Dhorite Diyo Go (Female),bn,Rabindra Sangeet,Tagore Classic,Arundhati Holme Chowdhury
Gold,en,pop,indie poptimism,Kiiara
All Falls Down (feat. Juliander),en,edm,electro house,Alan Walker
"Glowstix, Neon & Blood",en,pop,electropop,Incubite
Nothin' But The Cavi Hit,en,rap,southern hip hop,Mack 10
Better Give U Up,en,r&b,neo soul,FKJ
Someday,en,rock,permanent wave,The Strokes
"Rhythm Is A Dancer - 7"" Edit",en,pop,dance pop,SNAP!
Can't Fight This Feeling,en,rock,hard rock,REO Speedwagon
Jakhan Keu Amake Pagol Bale,bn,Adhunik Bangla,Philosophical Modern,Manna Dey
Amay Prashna Kare Neel Dhrubatara,bn,Bangla Film,Romantic Playback,Hemant Kumar
O Amar Pran Sajani (Champabothi Kanya),bn,Bangla Film,Romantic Playback,Lata Mangeshkar
Nayan Sarasi Keno Bhoreche Jaale,bn,Adhunik Bangla,Melancholic Modern,Kishore Kumar
Heartbreaker,en,rock,hard rock,Her Bright Skies
Kobe,en,rap,southern hip hop,Chief Keef
Ami Tomar Preme Habo Sabar,bn,Rabindra Sangeet,Tagore Romantic,Sagar Sen
Stitches,en,pop,post-teen pop,Shawn Mendes
Chandra Je Tui,bn,,Romantic Playback,Lata Mangeshkar
Beshi Ki Boli Jakhon Boli,bn,Bangla Film,Duet Playback,Bappi Lahiri|Asha Bhosle
Ki Ashai Bandhi Khelaghar,bn,Bangla Film,Romantic Playback,Kishore Kumar
Amar Natun Gaaner Janamatithi,bn,,Romantic Playback,Hemant Kumar
Najar Diyo Na,bn,Adhunik Bangla,Playful Modern,Kishore Kumar
Mone Naa Rang Lagle,bn,,Duet Playback,Asha Bhosle|Kishore Kumar|Chorus
Save It For A Rainy Day,en,rock,classic rock,Stephen Bishop
Amar Chetana Chaitanya Kore,bn,Devotional,Spiritual,Panna Lal Bhattacharjee
Paradise,en,rap,southern hip hop,Demun Jones
Jungle Boogie,en,r&b,urban contemporary,Kool & The Gang
Wait For You (feat. Maia Wright),en,edm,progressive electro house,Mike Williams
Madhumas Jay,bn,Bangla Film,Romantic Playback,R. D. Burman
