track_name,language,playlist_genre,playlist_subgenre,track_artist,kmeans_cluster,agg_cluster,dbscan_cluster,umap_1,umap_2
Katoi Ranga Dekhi Duniyay,bn,Bangla Film,Comic Satire,Amar Pal,1,0,0,1.8778539,6.624575
Bhalo Bashi Bhalo Bashi,bn,Rabindra Sangeet,Tagore Romantic,Amit Kumar|Kavita Krishnamurthy,0,1,0,5.638027,7.8425856
Sandhya Belay Tumi Ami,bn,Adhunik Bangla,Romantic Modern,Asha Bhosle,1,0,0,3.6679862,10.008612
Chole Jete Jete Din,bn,Adhunik Bangla,Melancholic Modern,Lata Mangeshkar,0,1,0,7.2841487,7.2707314
Bulbul Pakhi Maiana,bn,Children's Music,Children's Rhyme,Antara Chwdhury,1,0,0,1.9026408,8.373472
Janmadin,bn,Children's Music,Birthday Song,Kishore Kumar,0,1,0,7.6482887,7.344838
Ami Jamini Tumi Shashi Hey,bn,Bangla Film,Romantic Semi-Classical,Manna Dey,0,1,0,6.3536196,9.939014
Ami Taar Thikana Rakhini,bn,Adhunik Bangla,Romantic Modern,Manna Dey,1,0,0,2.231053,8.634233
Aar Ki Tomay Chharchhi,bn,Adhunik Bangla,Romantic Modern,Asha Bhosle|R. D. Burman,0,1,0,8.384739,9.1843605
Bom Bhole,bn,Devotional,Shiva Devotional,Kishore Kumar,1,1,0,4.1238966,11.308497
Gahan Megher Chhaya Ghanay,bn,Adhunik Bangla,Monsoon Modern,Manna Dey,1,0,0,2.0808244,6.972343
Kato Naree Achhe E Gokule,bn,Bangla Film,Comic Folk-Film,Asha Bhosle|Kishore Kumar|Tanuja,0,1,0,6.451094,6.9914126
Karo Keu Naiko Aami,bn,Adhunik Bangla,Melancholic Modern,Kishore Kumar,0,0,0,4.578627,10.005893
Balo Ki Achhe Go,bn,Bangla Film,Romantic Duet,R. D. Burman,0,0,0,4.9008727,7.7064753
Ami Gaan Shonabo,bn,Adhunik Bangla,Light Modern,Hemant Kumar,0,1,0,6.822391,7.2569237
Na Mon Lage Na,bn,Bangla Film,Romantic Retro,Lata Mangeshkar,1,0,0,3.1978679,8.363127
Najar Diyo Na,bn,Adhunik Bangla,Playful Modern,Kishore Kumar,0,1,0,5.824054,7.41947
Mon Janala Khule Dena,bn,Adhunik Bangla,Romantic Modern,Kishore Kumar,1,0,0,3.2259004,10.194535
Pora Banshi Shunle E Mon,bn,Adhunik Bangla,Folk-inspired Modern,Asha Bhosle,1,0,0,3.216896,9.330096
Amar Deep Nebhano Raat,bn,Adhunik Bangla,Melancholic Modern,Kishore Kumar,0,1,0,8.224709,9.032485
O Mor Moyna Go,bn,Bangla Folk,Folk Song,Lata Mangeshkar,0,1,0,8.496301,8.971404
Abhimane Chole Jeo Na,bn,Adhunik Bangla,Romantic Modern,Manna Dey,1,0,0,2.4566512,8.481903
Prem Baro Madhur,bn,Adhunik Bangla,Romantic Modern,Kishore Kumar,1,0,0,2.6376104,10.371897
Na Na Na Aaj Raate Aar,bn,Bangla Film,Playful Romantic,Manna Dey,0,1,0,5.7706256,8.0239525
Sedino Akashe Chhilo Kato Tara,bn,Adhunik Bangla,Nostalgic Modern,Kishore Kumar,0,1,0,5.3591084,11.2451515
Bhuter Raja Dilo Bor,bn,Children's Music,Fantasy Film Song,Anup Ghoshal|Rabi Ghosh,1,0,0,2.7092886,6.487404
Naam Amar Kishore Kumar Ganguly,bn,Adhunik Bangla,Tribute Song,Kishore Kumar,1,0,0,4.1965375,11.605105
Bhoy Dekhas Na (Male) Voice & Guitars,bn,Adhunik Bangla,Acoustic Modern,Arijit Singh,1,0,-1,1.2231485,9.997038
Hoyto Tomari Janya,bn,Bangla Film,Romantic Film Song,Manna Dey,1,0,0,2.335022,6.513223
Piya Bholo Abhimaan,bn,Bangla Film,Romantic Retro,Ajoy Chakrabarty,1,0,-1,1.2672466,10.103122
Ami Nei Ami Nei,bn,Adhunik Bangla,Melancholic Modern,Kishore Kumar,0,1,0,6.5434327,9.688359
Shono Mon Boli Tomay,bn,Adhunik Bangla,Philosophical Modern,R. D. Burman,0,0,0,6.8906226,6.910027
Hai Hai Ki Herilam,bn,Bangla Folk,Folk Ballad,Utpalendu Chowdhury,0,1,0,7.911167,9.901323
Kolkata Kolkata,bn,Bangla Film,City Travel,Bappi Lahiri,1,0,0,1.3463322,6.7584457
Gharete Bhramar Elo Gunguniye,bn,Adhunik Bangla,Folk-inspired Modern,Arundhati Holme Chowdhury,0,1,0,5.106354,9.124329
Mor Bhabanare Ki Haoway Matalo,bn,Rabindra Sangeet,Tagore Nature,Hemant Kumar,1,0,0,4.35834,7.6601543
Ami Ek Jajabar,bn,Adhunik Bangla,Wanderer Song,Bhupen Hazarika,1,0,0,2.228219,8.3806095
Dekhore Nayan Melay,bn,Bangla Folk,Folk Ballad,Anup Ghoshal,0,1,0,7.7859597,9.6995325
Ek Je Chhilo Raja,bn,Children's Music,Story Song,Anup Ghoshal|Rabi Ghosh,0,1,0,5.7312903,7.9775825
Ei Meghla Dine Ekla,bn,Adhunik Bangla,Monsoon Modern,Hemant Kumar,1,0,0,2.5047395,8.419196
Ami Pathbhola Ek Pathik Esechhi (Duet),bn,Bangla Film,Romantic Duet,Kanika Banerjee|Suchitra Mitra|Hemant Kumar,1,0,0,2.9466016,6.4184847
Shudhu Bhalobasha Diye,bn,Adhunik Bangla,Romantic Modern,Hemant Kumar,0,1,0,6.9977536,10.037891
Deke Deke Kato,bn,Bangla Film,Romantic Retro,R. D. Burman,0,1,0,6.5449486,9.210032
Manush Manusher Jannya,bn,Bangla Patriotic,Humanist Song,Bhupen Hazarika,0,1,0,8.617316,7.2754445
Aha Ki Ananda,bn,Children's Music,Fantasy Film Song,Anup Ghoshal,0,1,0,8.131147,7.528606
Darjeeling Jatra,bn,Children's Music,Travel Comic,R. D. Burman,0,1,0,7.2381263,9.891899
Moner Manush :- (Mon Jakhan Jagli Nare and Milan Habe Kata Dine),bn,Bangla Folk,Lalon Baul,Dohar,1,0,0,3.5873573,11.56151
Katha Diye Ele Na,bn,Bangla Film,Romantic Playback,Asha Bhosle,1,0,0,1.4339988,9.242279
Amar Shilpi Tumi Kishore Kumar,bn,Bangla Film,Romantic Playback,Kumar Sanu,1,0,0,3.9083161,11.427615
Champa Chameli Golaperi Baage,bn,Bangla Film,Duet Playback,Manna Dey|Sandhya Mukherjee,1,0,0,3.4484844,6.517861
Nishidin Nishidin,bn,Bangla Film,Romantic Playback,Lata Mangeshkar,0,1,0,8.197169,9.017406
Jete Jete Pathe Holo,bn,Bangla Film,Romantic Playback,R. D. Burman,1,0,0,4.5207934,7.504149
Saat Bhai Champa Jagore,bn,Bangla Film,Romantic Playback,Lata Mangeshkar,1,0,0,4.5099044,7.552099
Antabihin Kate Na Aar Jeno (Baro Shunya Shunya),bn,Bangla Film,Romantic Playback,Lata Mangeshkar,1,0,0,2.9367437,6.5323806
Ei Mom Jochhonay Ango Bhijiye,bn,Bangla Film,Romantic Playback,Aarti Mukherji,0,0,0,4.0519023,7.1515365
Tomar Pujar Chhaley,bn,Rabindra Sangeet,Tagore Devotional,Debabrata Biswas,1,0,0,4.6084795,9.546929
Tomate Amate Dekha Hoyechhilo,bn,Bangla Film,Romantic Playback,R. D. Burman,0,1,0,7.4674187,8.707249
Jete Jete Pathe Holo,bn,Bangla Film,Romantic Playback,R. D. Burman,0,1,0,8.427778,9.030044
Ei Sundar Swarnali Sandhaye,bn,Bangla Film,Romantic Playback,Geeta Dutt,0,1,0,5.858913,8.23389
Mayur Aakaash,bn,Bangla Film,Romantic Playback,Bappi Lahiri,1,0,0,3.249634,8.787332
Olir Katha Shune Bakul Hase,bn,Bangla Film,Romantic Playback,Hemant Kumar,0,0,0,4.766224,6.7060437
Aebar Pujoye Chaaye,bn,Bangla Film,Romantic Playback,Alka Yagnik,0,1,0,7.3513274,6.015124
Jani Na Aaj Je Apon,bn,Bangla Film,Romantic Playback,Asha Bhosle,0,1,0,7.330814,8.302505
Takhon Tomar Ekush Bachhar,bn,Bangla Film,Romantic Playback,Aarti Mukherji,0,1,0,6.736674,10.128696
Nagor Amar Kancha Peerit,bn,Bangla Film,Duet Playback,Asha Bhosle|Shailender Singh,1,0,0,4.733923,8.147248
Oi Dustu Chokher Mishti Hasi,bn,Bangla Film,Duet Playback,Sandhya Mukherjee|Hemant Kumar,0,1,0,8.293856,8.969071
Mor Bina Othe Kon Sure Baji,bn,Rabindra Sangeet,Tagore Classic,Swagatalakshmi Dasgupta,0,1,0,6.7541037,6.7615395
Phire Eso Anuradha,bn,Bangla Film,Romantic Playback,R. D. Burman,0,1,0,6.393201,8.363169
Sajani Go Premer Katha,bn,Bangla Film,Romantic Playback,R. D. Burman,1,0,0,1.7475616,9.66188
Jete Dao Amay Dekona,bn,Bangla Film,Romantic Playback,Asha Bhosle,0,1,0,7.5007405,7.563729
Jibane Ki Pabo Na,bn,Bangla Film,Romantic Playback,Manna Dey,0,0,0,4.783972,9.950377
Tolo Chhinnabeena,bn,Bangla Film,Romantic Playback,Asha Bhosle,1,0,0,2.779734,10.169693
Kalo Meyer Payer Tolaaye,bn,Devotional,Shyama Sangeet,Panna Lal Bhattacharjee,0,1,0,8.106704,7.519718
O Amar Sajani Go,bn,Bangla Film,Duet Playback,Kishore Kumar|Lata Mangeshkar,1,0,0,2.9418619,10.0566
Chhande Chhande Gaane Gaane,bn,Bangla Film,Romantic Playback,Asha Bhosle,0,0,0,4.9402533,6.6360373
Badhu Kon Alo (Part 1),bn,Rabindra Sangeet,Tagore Nature,Arundhati Holme Chowdhury,1,0,0,4.288677,10.115534
Eshe Hirok Deshe,bn,Children's Music,Comic Song,Anup Ghoshal,0,1,0,5.2717404,8.502416
Jana - Gana - Mana - Orchestra,bn,Children's Music,Comic Song,Akashvani Vadya Vrinda,0,1,0,8.547114,7.4513483
O Tui Nayan Pakhi Amar Re,bn,Bangla Film,Romantic Playback,Lata Mangeshkar,1,0,0,2.055335,6.4079304
Aasbo Aar Ekdin Aaj Jai,bn,Bangla Film,Romantic Playback,Asha Bhosle,0,1,0,8.59545,8.592907
Chokhe Chokhe Katha Balo,bn,Bangla Film,Romantic Playback,Asha Bhosle,0,1,0,6.2855062,8.364352
Phire Eso Anuradha,bn,Bangla Film,Romantic Playback,R. D. Burman,1,0,0,3.8983243,10.082602
Ami Dur Hote Tomarei Dekhechhi,bn,Bangla Film,Romantic Playback,Hemant Kumar,0,1,0,7.8007016,10.237936
Hey Nutan Dekha Dik Aar-Bar,bn,Rabindra Sangeet,Tagore Classic,Swagatalakshmi Dasgupta,0,1,0,6.683893,10.244622
Ek Je Chhilo Maachhi,bn,Children's Music,Children's Song,Antara Chwdhury,0,1,0,7.1723166,8.773022
Ami Mon Diye Chi,bn,Bangla Film,Romantic Playback,Asha Bhosle,0,1,0,6.104317,10.296171
Bidhir Bandhan Katbe Tumi,bn,Bangla Film,Romantic Playback,Kishore Kumar,0,1,0,6.1412487,6.5596137
Maharaja Tomarey Shelam,bn,Children's Music,Fantasy Song,Anup Ghoshal|Rabi Ghosh,0,1,0,7.175188,9.722447
Ami Je Jalsaghare (Stereo),bn,Bangla Film,Romantic Playback,Sandhya Mukherjee,0,1,0,7.9913816,6.8689427
Aamar Eche Korche Bhalo,bn,Bangla Film,Duet Playback,Bappi Lahiri|Asha Bhosle,1,0,0,2.5909417,9.733323
Balo Ki Achhe Go,bn,Bangla Film,Romantic Duet,R. D. Burman,0,1,0,8.619589,8.666408
Tomari Chalar Pathe,bn,Bangla Film,Romantic Playback,Asha Bhosle,0,1,0,6.764304,8.800307
Ore Baba Dekho Cheye,bn,Children's Music,Comic Song,Anup Ghoshal,0,1,0,7.581852,5.341251
Keno Kichhu Katha Balo Na,bn,Bangla Film,Romantic Playback,Lata Mangeshkar,1,0,0,2.0323176,8.200627
Aayre Chhute Aai,bn,Children's Music,Comic Song,Antara Chwdhury,0,1,0,7.1628785,9.523478
Je Khanei Thako Sukhe Thako,bn,Bangla Film,Romantic Playback,Asha Bhosle,1,0,0,3.2583969,11.376972
Dekhle Kemon Tumi Khel,bn,Bangla Film,Romantic Playback,Kishore Kumar,1,0,0,3.2691822,11.376736
Aei Gaaneri Shure Shure,bn,Bangla Film,Romantic Playback,Mohammad Aziz,1,0,0,1.4324963,10.328834
Phire Elam Dure Giye,bn,Bangla Film,Duet Playback,Asha Bhosle|R. D. Burman,0,1,0,6.510339,11.036682
Pa Ma Ga Re Sa,bn,Devotional,Spiritual,Lata Mangeshkar,1,0,0,3.4828348,6.5560346
Na Dir Dir Da,bn,Children's Music,Comic Song,Antara Chwdhury,0,1,0,7.060745,8.551153
Swapna Mahale Ajo Nishirate,bn,Bangla Film,Romantic Playback,Bappi Lahiri,1,0,0,2.8704786,9.760937
Nadir Paare Uthchhe Dhonya,bn,Bangla Film,Romantic Playback,R. D. Burman,1,1,0,4.203367,9.353372
Keu Jane Na Tumi Je Amar,bn,Bangla Film,Romantic Playback,R. D. Burman,0,0,0,4.774836,9.260941
Ore Amar Mon,bn,Adhunik Bangla,Romantic Modern,Dwijen Mukherjee,1,0,0,3.805352,10.031595
Bujhbe Na Keu Bujhbe Na,bn,Bangla Film,Romantic Playback,Lata Mangeshkar,1,0,0,3.7494364,10.636735
Taare Bole Diyo,bn,Bangla Film,Romantic Playback,Hemant Kumar,1,0,0,3.952267,7.9798436
Dongshili Tui,bn,,Romantic Playback,Lata Mangeshkar,0,1,0,5.3738117,11.284322
Jani Na Kothay Tumi,bn,,Duet Playback,Asha Bhosle|R. D. Burman,0,1,0,7.683645,9.43948
Bolchi Tomar Kane Kane- Duet,bn,,Romantic Solo,Bappi Lahiri|Rema Lahiri,1,0,0,3.7497697,11.55329
Lakshmiti Dohai Tomar,bn,,Romantic Playback,Asha Bhosle,0,0,0,5.044632,6.65006
Phire Elam Dure Giye,bn,,Duet Playback,Asha Bhosle|R. D. Burman,1,1,0,4.339385,9.1590395
Chupi Chupi Kaache Aesho,bn,,Romantic Playback,Alka Yagnik,0,1,0,6.7698007,8.953537
Ei Purnima Raat,bn,,Romantic Playback,Hemant Kumar,0,1,0,8.481919,8.683591
Kono Kaaj Noy Aaj,bn,,Duet Playback,Asha Bhosle|Kishore Kumar,0,0,0,4.7010283,9.541833
Shudhu Jaowa Asa,bn,,Romantic Modern,Lopamudra Mitra,0,1,0,7.044418,6.2171993
Otho Otho Surjayre,bn,,Romantic Playback,Lata Mangeshkar,1,0,0,1.7590554,10.347301
Drishya Dekhi Anya,bn,,Comic Song,Anup Ghoshal,0,1,0,8.380944,7.0956283
Nei Sei Purnima Raat,bn,,Melancholy Playback,Asha Bhosle,0,1,0,8.151242,9.060693
Ogo Aar Kichhu To Naai,bn,,Romantic Playback,Lata Mangeshkar,1,0,0,2.792205,8.514003
Kobe Je Kothay,bn,,Romantic Playback,Bhupinder Singh,0,1,0,6.573585,8.418519
Sei Raate Raat Chhilo Purnima,bn,,Romantic Modern,Kishore Kumar,1,0,0,3.44884,11.474991
Sukher Majhey Tomay,bn,,Tagore Classic,Indrani Sen,0,1,0,8.703879,8.41651
Saraswati,bn,,Romantic Modern,Atanu Sanyal,0,1,0,8.622077,7.390109
Sunilo Saagarey,bn,,Tagore Nature,Debabrata Biswas,0,1,0,5.3338337,8.87721
Otho Otho Suryai Re,bn,,Romantic Playback,Lata Mangeshkar,1,0,0,2.9406507,6.5405536
E Jiban Premeri Ek Patabahar Kabita,bn,,Romantic Playback,Kishore Kumar,1,0,0,1.3649161,10.02608
Bistirna Dupare,bn,,Romantic Modern,Bhupen Hazarika,1,0,0,4.3039336,10.43299
Menokaa Maathaay Dilo Ghomtaa,bn,,Baul,Purna Das Baul,0,1,0,7.1286306,7.229462
Paye Pari Baghmama,bn,,Comic Song,Anup Ghoshal,1,0,0,1.2328516,6.2007036
Joriye Dhorechhi Jare,bn,,Romantic Playback,Kishore Kumar,0,1,0,7.4394927,9.477855
Amar Natun Gaaner Janamatithi,bn,,Romantic Playback,Hemant Kumar,1,1,0,3.5666416,9.06002
Ami Tomar Preme Habo Sabar,bn,,Tagore Romantic,Sagar Sen,1,0,0,2.824177,9.701704
Bhalo Jodi Baso Sakhi,bn,,Tagore Nature,Chinmoy Chatterjee,0,0,0,4.652578,7.442553
Katha Kichhu Kichhu Bujhe Nite Hoy,bn,,Duet Playback,Shyamal Mitra|Aarti Mukherji,1,0,0,1.4541144,7.126797
Jiban Khatar Prati Patay,bn,,Romantic Modern,Shyamal Mitra,1,0,0,2.2088473,10.247917
Amar Moner Ei Mayurmahale,bn,,Romantic Playback,Kishore Kumar,1,0,0,3.9535391,7.9094305
Alo Aar Alo Diye (Mone Hoy Aaj Ami),bn,,Romantic Playback,Asha Bhosle,0,1,0,6.9671707,9.769998
Godhuli Gaganey,bn,,Tagore Classic,Debabrata Biswas,0,1,0,6.2904644,7.3394294
Abar Habe To Dekha,bn,,Romantic Playback,Manna Dey,1,0,0,3.12616,7.147525
Akash Keno Daake,bn,,Romantic Playback,Kishore Kumar,1,0,0,2.2237234,10.214115
Madhabi Phutechhe Oi,bn,,Duet Playback,Lata Mangeshkar|R. D. Burman,0,1,0,6.782973,10.090292
Ek Je Chhilo Dushtu Chhele,bn,,Children's Song,Antara Chwdhury,0,1,0,5.7631273,7.6681643
Ki Hobe Aar Purono Diner Katha,bn,,Romantic Playback,R. D. Burman,1,0,0,1.3758968,9.217124
Mone Naa Rang Lagle,bn,,Duet Playback,Asha Bhosle|Kishore Kumar|Chorus,1,0,0,4.6323004,9.406622
Monta Aamar Hariye Geche,bn,,Melancholy Playback,Vijayta Pandit,1,0,0,1.5291313,10.348922
Ei To Jiban,bn,,Romantic Playback,Kishore Kumar,0,1,0,5.7802625,7.600843
Kato Madhur E Jibon,bn,,Romantic Playback,Kishore Kumar,1,0,0,3.1780553,9.36731
Ei Je Nadi Jay Sagare,bn,,Romantic Playback,Kishore Kumar,0,1,0,4.515244,9.270057
Teenti Mantra Niye,bn,,Romantic Modern,Shyamal Mitra,1,0,0,1.7573014,7.1949644
Sakhi Bhabana Kahare Bale,bn,,Tagore Romantic,Lata Mangeshkar|Kavita Krishnamurthy,1,0,0,3.5619812,10.696614
Ketechhe Ekela Biraher Bela,bn,,Tagore Nostalgia,Chinmoy Chatterjee,1,0,0,3.3090234,6.4303727
Deke Deke Kato,bn,,Romantic Retro,R. D. Burman,0,0,0,5.339884,6.573934
Eso Amar Ghare - Hemanta Mukherjee,bn,,Romantic Playback,Hemant Kumar,1,0,0,3.1738286,10.558653
Jay Din Emni Jodi,bn,,Romantic Playback,Hemant Kumar,0,1,0,7.838309,10.193074
Ki Name Deke Bolbo Tomake,bn,,Romantic Modern,Shyamal Mitra,0,1,0,7.12583,7.4769826
O Pakhi Ure Aay,bn,,Romantic Playback,Asha Bhosle,1,0,0,3.6853824,10.049171
Phool Koli Re Phool Koli,bn,,Duet Playback,Kishore Kumar|Asha Bhosle,1,0,0,1.6401815,9.139546
Hey Dola Hey Dola,bn,,Romantic Modern,Bhupen Hazarika,0,1,0,6.636944,8.295692
Ei Chhotto Chhotto Paye,bn,,Duet Playback,Aarti Mukherji|Pratima Banerjee,0,1,0,7.814241,10.219226
Chandra Je Tui,bn,,Romantic Playback,Lata Mangeshkar,1,0,0,1.2594826,6.27304
Ganga Amar Ma,bn,,Spiritual,Bhupen Hazarika,0,1,0,7.026382,8.110217
Chintamoyee Tara Tumi,bn,,Shyama Sangeet,Panna Lal Bhattacharjee,0,1,0,6.0936947,8.521567
Tumi Je Premer,bn,,Duet Playback,Kishore Kumar|Aarti Mukherji,1,0,0,1.8767906,6.424194
Jani Na Kothay Tumi,bn,,Duet Playback,Asha Bhosle|R. D. Burman,0,1,0,5.342698,8.424352
Dure Akash Samiyanai,bn,,Melancholy Playback,Lata Mangeshkar,1,0,0,2.8273296,6.5139737
Rui Katla Ilish Bhebe,bn,,Romantic Modern,Sabina Yasmeen,1,0,0,3.913978,10.772996
Ektu Baso Chole Jeo Na,bn,,Melancholy Playback,Asha Bhosle,1,0,0,1.533283,10.394951
Charon Dhorite Diyo Go (Male),bn,,Tagore Classic,Hemant Kumar,0,0,0,4.574178,9.995298
Aaro Kachakachi,bn,,Duet Playback,Kishore Kumar|Asha Bhosle,1,0,0,3.900267,8.260723
Ekbar Bidaay De Ma,bn,,Spiritual,Lata Mangeshkar,0,1,0,7.909137,7.551375
Banshi Shune Ki,bn,,Romantic Playback,Asha Bhosle,1,0,0,2.6029134,9.477308
Pora Banshi Shunle E Mon,bn,,Folk-inspired Modern,Asha Bhosle,0,1,0,7.10311,8.234501
Aami Ekjon Saanto Sishto,bn,Bangla Film,Romantic Playback,Kishore Kumar,0,1,0,7.1525555,6.991796
Halla Cholechhe Juddhe,bn,Children's Music,Comic Song,Kamu Mukherjee|Jahor Roy,0,0,0,5.1532536,6.404641
"O,sona Byang",bn,Children's Music,Children's Song,Antara Chwdhury,1,0,0,2.8315003,7.6343927
