track_name,language,playlist_genre,playlist_subgenre,track_artist
Shono Mon Boli Tomay,bn,Adhunik Bangla,Philosophical Modern,R. D. Burman
Tora Je Ja Bolish,bn,Rabindra Sangeet,Tagore Playful,Debabrata Biswas
Chirodini Tumi Je Aamar- Female,bn,Bangla Film,Romantic Film Ballad,Asha Bhosle
Aamar Swapna Je,bn,Bangla Film,Romantic Retro,Lata Mangeshkar|Kishore Kumar
Ka Phonta Chokher Jal Phelechho,bn,Adhunik Bangla,Melancholic Modern,Manna Dey
Katoi Ranga Dekhi Duniyay,bn,Bangla Film,Comic Satire,Amar Pal
Bhalo Bashi Bhalo Bashi,bn,Rabindra Sangeet,Tagore Romantic,Amit Kumar|Kavita Krishnamurthy
Sandhya Belay Tumi Ami,bn,Adhunik Bangla,Romantic Modern,Asha Bhosle
Chole Jete Jete Din,bn,Adhunik Bangla,Melancholic Modern,Lata Mangeshkar
Bulbul Pakhi Maiana,bn,Children's Music,Children's Rhyme,Antara Chwdhury
Janmadin,bn,Children's Music,Birthday Song,Kishore Kumar
Ami Jamini Tumi Shashi Hey,bn,Bangla Film,Romantic Semi-Classical,Manna Dey
Ami Taar Thikana Rakhini,bn,Adhunik Bangla,Romantic Modern,Manna Dey
Aar Ki Tomay Chharchhi,bn,Adhunik Bangla,Romantic Modern,Asha Bhosle|R. D. Burman
Bom Bhole,bn,Devotional,Shiva Devotional,Kishore Kumar
Gahan Megher Chhaya Ghanay,bn,Adhunik Bangla,Monsoon Modern,Manna Dey
Kato Naree Achhe E Gokule,bn,Bangla Film,Comic Folk-Film,Asha Bhosle|Kishore Kumar|Tanuja
Karo Keu Naiko Aami,bn,Adhunik Bangla,Melancholic Modern,Kishore Kumar
Balo Ki Achhe Go,bn,Bangla Film,Romantic Duet,R. D. Burman
Ami Gaan Shonabo,bn,Adhunik Bangla,Light Modern,Hemant Kumar
Na Mon Lage Na,bn,Bangla Film,Romantic Retro,Lata Mangeshkar
Najar Diyo Na,bn,Adhunik Bangla,Playful Modern,Kishore Kumar
Mon Janala Khule Dena,bn,Adhunik Bangla,Romantic Modern,Kishore Kumar
Pora Banshi Shunle E Mon,bn,Adhunik Bangla,Folk-inspired Modern,Asha Bhosle
Amar Deep Nebhano Raat,bn,Adhunik Bangla,Melancholic Modern,Kishore Kumar
O Mor Moyna Go,bn,Bangla Folk,Folk Song,Lata Mangeshkar
Abhimane Chole Jeo Na,bn,Adhunik Bangla,Romantic Modern,Manna Dey
Prem Baro Madhur,bn,Adhunik Bangla,Romantic Modern,Kishore Kumar
Na Na Na Aaj Raate Aar,bn,Bangla Film,Playful Romantic,Manna Dey
Sedino Akashe Chhilo Kato Tara,bn,Adhunik Bangla,Nostalgic Modern,Kishore Kumar
Bhuter Raja Dilo Bor,bn,Children's Music,Fantasy Film Song,Anup Ghoshal|Rabi Ghosh
Naam Amar Kishore Kumar Ganguly,bn,Adhunik Bangla,Tribute Song,Kishore Kumar
Bhoy Dekhas Na (Male) Voice & Guitars,bn,Adhunik Bangla,Acoustic Modern,Arijit Singh
Hoyto Tomari Janya,bn,Bangla Film,Romantic Film Song,Manna Dey
Piya Bholo Abhimaan,bn,Bangla Film,Romantic Retro,Ajoy Chakrabarty
Ami Nei Ami Nei,bn,Adhunik Bangla,Melancholic Modern,Kishore Kumar
Shono Mon Boli Tomay,bn,Adhunik Bangla,Philosophical Modern,R. D. Burman
Hai Hai Ki Herilam,bn,Bangla Folk,Folk Ballad,Utpalendu Chowdhury
Kolkata Kolkata,bn,Bangla Film,City Travel,Bappi Lahiri
Gharete Bhramar Elo Gunguniye,bn,Adhunik Bangla,Folk-inspired Modern,Arundhati Holme Chowdhury
Mor Bhabanare Ki Haoway Matalo,bn,Rabindra Sangeet,Tagore Nature,Hemant Kumar
Ami Ek Jajabar,bn,Adhunik Bangla,Wanderer Song,Bhupen Hazarika
Dekhore Nayan Melay,bn,Bangla Folk,Folk Ballad,Anup Ghoshal
Ek Je Chhilo Raja,bn,Children's Music,Story Song,Anup Ghoshal|Rabi Ghosh
Ei Meghla Dine Ekla,bn,Adhunik Bangla,Monsoon Modern,Hemant Kumar
Ami Pathbhola Ek Pathik Esechhi (Duet),bn,Bangla Film,Romantic Duet,Kanika Banerjee|Suchitra Mitra|Hemant Kumar
Shudhu Bhalobasha Diye,bn,Adhunik Bangla,Romantic Modern,Hemant Kumar
Deke Deke Kato,bn,Bangla Film,Romantic Retro,R. D. Burman
Manush Manusher Jannya,bn,Bangla Patriotic,Humanist Song,Bhupen Hazarika
Aha Ki Ananda,bn,Children's Music,Fantasy Film Song,Anup Ghoshal
Darjeeling Jatra,bn,Children's Music,Travel Comic,R. D. Burman
Moner Manush :- (Mon Jakhan Jagli Nare and Milan Habe Kata Dine),bn,Bangla Folk,Lalon Baul,Dohar
Katha Diye Ele Na,bn,Bangla Film,Romantic Playback,Asha Bhosle
Amar Shilpi Tumi Kishore Kumar,bn,Bangla Film,Romantic Playback,Kumar Sanu
Champa Chameli Golaperi Baage,bn,Bangla Film,Duet Playback,Manna Dey|Sandhya Mukherjee
Nishidin Nishidin,bn,Bangla Film,Romantic Playback,Lata Mangeshkar
Jete Jete Pathe Holo,bn,Bangla Film,Romantic Playback,R. D. Burman
Saat Bhai Champa Jagore,bn,Bangla Film,Romantic Playback,Lata Mangeshkar
Antabihin Kate Na Aar Jeno (Baro Shunya Shunya),bn,Bangla Film,Romantic Playback,Lata Mangeshkar
Ei Mom Jochhonay Ango Bhijiye,bn,Bangla Film,Romantic Playback,Aarti Mukherji
Tomar Pujar Chhaley,bn,Rabindra Sangeet,Tagore Devotional,Debabrata Biswas
Tomate Amate Dekha Hoyechhilo,bn,Bangla Film,Romantic Playback,R. D. Burman
Jete Jete Pathe Holo,bn,Bangla Film,Romantic Playback,R. D. Burman
Ei Sundar Swarnali Sandhaye,bn,Bangla Film,Romantic Playback,Geeta Dutt
Mayur Aakaash,bn,Bangla Film,Romantic Playback,Bappi Lahiri
Olir Katha Shune Bakul Hase,bn,Bangla Film,Romantic Playback,Hemant Kumar
Aebar Pujoye Chaaye,bn,Bangla Film,Romantic Playback,Alka Yagnik
Jani Na Aaj Je Apon,bn,Bangla Film,Romantic Playback,Asha Bhosle
Takhon Tomar Ekush Bachhar,bn,Bangla Film,Romantic Playback,Aarti Mukherji
Nagor Amar Kancha Peerit,bn,Bangla Film,Duet Playback,Asha Bhosle|Shailender Singh
Oi Dustu Chokher Mishti Hasi,bn,Bangla Film,Duet Playback,Sandhya Mukherjee|Hemant Kumar
Mor Bina Othe Kon Sure Baji,bn,Rabindra Sangeet,Tagore Classic,Swagatalakshmi Dasgupta
Phire Eso Anuradha,bn,Bangla Film,Romantic Playback,R. D. Burman
Sajani Go Premer Katha,bn,Bangla Film,Romantic Playback,R. D. Burman
Jete Dao Amay Dekona,bn,Bangla Film,Romantic Playback,Asha Bhosle
Jibane Ki Pabo Na,bn,Bangla Film,Romantic Playback,Manna Dey
Tolo Chhinnabeena,bn,Bangla Film,Romantic Playback,Asha Bhosle
Kalo Meyer Payer Tolaaye,bn,Devotional,Shyama Sangeet,Panna Lal Bhattacharjee
O Amar Sajani Go,bn,Bangla Film,Duet Playback,Kishore Kumar|Lata Mangeshkar
Chhande Chhande Gaane Gaane,bn,Bangla Film,Romantic Playback,Asha Bhosle
Badhu Kon Alo (Part 1),bn,Rabindra Sangeet,Tagore Nature,Arundhati Holme Chowdhury
Eshe Hirok Deshe,bn,Children's Music,Comic Song,Anup Ghoshal
Jana - Gana - Mana - Orchestra,bn,Children's Music,Comic Song,Akashvani Vadya Vrinda
O Tui Nayan Pakhi Amar Re,bn,Bangla Film,Romantic Playback,Lata Mangeshkar
Aasbo Aar Ekdin Aaj Jai,bn,Bangla Film,Romantic Playback,Asha Bhosle
Chokhe Chokhe Katha Balo,bn,Bangla Film,Romantic Playback,Asha Bhosle
Phire Eso Anuradha,bn,Bangla Film,Romantic Playback,R. D. Burman
Ami Dur Hote Tomarei Dekhechhi,bn,Bangla Film,Romantic Playback,Hemant Kumar
Hey Nutan Dekha Dik Aar-Bar,bn,Rabindra Sangeet,Tagore Classic,Swagatalakshmi Dasgupta
Ek Je Chhilo Maachhi,bn,Children's Music,Children's Song,Antara Chwdhury
Ami Mon Diye Chi,bn,Bangla Film,Romantic Playback,Asha Bhosle
Bidhir Bandhan Katbe Tumi,bn,Bangla Film,Romantic Playback,Kishore Kumar
Maharaja Tomarey Shelam,bn,Children's Music,Fantasy Song,Anup Ghoshal|Rabi Ghosh
Ami Je Jalsaghare (Stereo),bn,Bangla Film,Romantic Playback,Sandhya Mukherjee
Aamar Eche Korche Bhalo,bn,Bangla Film,Duet Playback,Bappi Lahiri|Asha Bhosle
Balo Ki Achhe Go,bn,Bangla Film,Romantic Duet,R. D. Burman
Tomari Chalar Pathe,bn,Bangla Film,Romantic Playback,Asha Bhosle
Ore Baba Dekho Cheye,bn,Children's Music,Comic Song,Anup Ghoshal
Keno Kichhu Katha Balo Na,bn,Bangla Film,Romantic Playback,Lata Mangeshkar
Aayre Chhute Aai,bn,Children's Music,Comic Song,Antara Chwdhury
Je Khanei Thako Sukhe Thako,bn,Bangla Film,Romantic Playback,Asha Bhosle
Dekhle Kemon Tumi Khel,bn,Bangla Film,Romantic Playback,Kishore Kumar
Aei Gaaneri Shure Shure,bn,Bangla Film,Romantic Playback,Mohammad Aziz
Phire Elam Dure Giye,bn,Bangla Film,Duet Playback,Asha Bhosle|R. D. Burman
Pa Ma Ga Re Sa,bn,Devotional,Spiritual,Lata Mangeshkar
Na Dir Dir Da,bn,Children's Music,Comic Song,Antara Chwdhury
Swapna Mahale Ajo Nishirate,bn,Bangla Film,Romantic Playback,Bappi Lahiri
Nadir Paare Uthchhe Dhonya,bn,Bangla Film,Romantic Playback,R. D. Burman
Keu Jane Na Tumi Je Amar,bn,Bangla Film,Romantic Playback,R. D. Burman
Ore Amar Mon,bn,Adhunik Bangla,Romantic Modern,Dwijen Mukherjee
Bujhbe Na Keu Bujhbe Na,bn,Bangla Film,Romantic Playback,Lata Mangeshkar
Taare Bole Diyo,bn,Bangla Film,Romantic Playback,Hemant Kumar
Dongshili Tui,bn,,Romantic Playback,Lata Mangeshkar
Jani Na Kothay Tumi,bn,,Duet Playback,Asha Bhosle|R. D. Burman
Bolchi Tomar Kane Kane- Duet,bn,,Romantic Solo,Bappi Lahiri|Rema Lahiri
Lakshmiti Dohai Tomar,bn,,Romantic Playback,Asha Bhosle
Phire Elam Dure Giye,bn,,Duet Playback,Asha Bhosle|R. D. Burman
Chupi Chupi Kaache Aesho,bn,,Romantic Playback,Alka Yagnik
Ei Purnima Raat,bn,,Romantic Playback,Hemant Kumar
Kono Kaaj Noy Aaj,bn,,Duet Playback,Asha Bhosle|Kishore Kumar
Shudhu Jaowa Asa,bn,,Romantic Modern,Lopamudra Mitra
Otho Otho Surjayre,bn,,Romantic Playback,Lata Mangeshkar
Drishya Dekhi Anya,bn,,Comic Song,Anup Ghoshal
Nei Sei Purnima Raat,bn,,Melancholy Playback,Asha Bhosle
Ogo Aar Kichhu To Naai,bn,,Romantic Playback,Lata Mangeshkar
Kobe Je Kothay,bn,,Romantic Playback,Bhupinder Singh
Sei Raate Raat Chhilo Purnima,bn,,Romantic Modern,Kishore Kumar
Sukher Majhey Tomay,bn,,Tagore Classic,Indrani Sen
Saraswati,bn,,Romantic Modern,Atanu Sanyal
Sunilo Saagarey,bn,,Tagore Nature,Debabrata Biswas
Otho Otho Suryai Re,bn,,Romantic Playback,Lata Mangeshkar
E Jiban Premeri Ek Patabahar Kabita,bn,,Romantic Playback,Kishore Kumar
Bistirna Dupare,bn,,Romantic Modern,Bhupen Hazarika
Menokaa Maathaay Dilo Ghomtaa,bn,,Baul,Purna Das Baul
Paye Pari Baghmama,bn,,Comic Song,Anup Ghoshal
Joriye Dhorechhi Jare,bn,,Romantic Playback,Kishore Kumar
Amar Natun Gaaner Janamatithi,bn,,Romantic Playback,Hemant Kumar
Ami Tomar Preme Habo Sabar,bn,,Tagore Romantic,Sagar Sen
Bhalo Jodi Baso Sakhi,bn,,Tagore Nature,Chinmoy Chatterjee
Katha Kichhu Kichhu Bujhe Nite Hoy,bn,,Duet Playback,Shyamal Mitra|Aarti Mukherji
Jiban Khatar Prati Patay,bn,,Romantic Modern,Shyamal Mitra
Amar Moner Ei Mayurmahale,bn,,Romantic Playback,Kishore Kumar
Alo Aar Alo Diye (Mone Hoy Aaj Ami),bn,,Romantic Playback,Asha Bhosle
Godhuli Gaganey,bn,,Tagore Classic,Debabrata Biswas
Abar Habe To Dekha,bn,,Romantic Playback,Manna Dey
Akash Keno Daake,bn,,Romantic Playback,Kishore Kumar
Madhabi Phutechhe Oi,bn,,Duet Playback,Lata Mangeshkar|R. D. Burman
Ek Je Chhilo Dushtu Chhele,bn,,Children's Song,Antara Chwdhury
Ki Hobe Aar Purono Diner Katha,bn,,Romantic Playback,R. D. Burman
Mone Naa Rang Lagle,bn,,Duet Playback,Asha Bhosle|Kishore Kumar|Chorus
Monta Aamar Hariye Geche,bn,,Melancholy Playback,Vijayta Pandit
Ei To Jiban,bn,,Romantic Playback,Kishore Kumar
Kato Madhur E Jibon,bn,,Romantic Playback,Kishore Kumar
Ei Je Nadi Jay Sagare,bn,,Romantic Playback,Kishore Kumar
Teenti Mantra Niye,bn,,Romantic Modern,Shyamal Mitra
Sakhi Bhabana Kahare Bale,bn,,Tagore Romantic,Lata Mangeshkar|Kavita Krishnamurthy
Ketechhe Ekela Biraher Bela,bn,,Tagore Nostalgia,Chinmoy Chatterjee
Deke Deke Kato,bn,,Romantic Retro,R. D. Burman
Eso Amar Ghare - Hemanta Mukherjee,bn,,Romantic Playback,Hemant Kumar
Jay Din Emni Jodi,bn,,Romantic Playback,Hemant Kumar
Ki Name Deke Bolbo Tomake,bn,,Romantic Modern,Shyamal Mitra
O Pakhi Ure Aay,bn,,Romantic Playback,Asha Bhosle
Phool Koli Re Phool Koli,bn,,Duet Playback,Kishore Kumar|Asha Bhosle
Hey Dola Hey Dola,bn,,Romantic Modern,Bhupen Hazarika
Ei Chhotto Chhotto Paye,bn,,Duet Playback,Aarti Mukherji|Pratima Banerjee
Chandra Je Tui,bn,,Romantic Playback,Lata Mangeshkar
Ganga Amar Ma,bn,,Spiritual,Bhupen Hazarika
Chintamoyee Tara Tumi,bn,,Shyama Sangeet,Panna Lal Bhattacharjee
Tumi Je Premer,bn,,Duet Playback,Kishore Kumar|Aarti Mukherji
Jani Na Kothay Tumi,bn,,Duet Playback,Asha Bhosle|R. D. Burman
Dure Akash Samiyanai,bn,,Melancholy Playback,Lata Mangeshkar
Rui Katla Ilish Bhebe,bn,,Romantic Modern,Sabina Yasmeen
Ektu Baso Chole Jeo Na,bn,,Melancholy Playback,Asha Bhosle
Charon Dhorite Diyo Go (Male),bn,,Tagore Classic,Hemant Kumar
Aaro Kachakachi,bn,,Duet Playback,Kishore Kumar|Asha Bhosle
Ekbar Bidaay De Ma,bn,,Spiritual,Lata Mangeshkar
Banshi Shune Ki,bn,,Romantic Playback,Asha Bhosle
Pora Banshi Shunle E Mon,bn,,Folk-inspired Modern,Asha Bhosle
Aami Ekjon Saanto Sishto,bn,Bangla Film,Romantic Playback,Kishore Kumar
Halla Cholechhe Juddhe,bn,Children's Music,Comic Song,Kamu Mukherjee|Jahor Roy
"O,sona Byang",bn,Children's Music,Children's Song,Antara Chwdhury
Ki Ashai Bandhi Khelaghar,bn,Bangla Film,Romantic Playback,Kishore Kumar
Chand Aar Shurjo,bn,Bangla Film,Romantic Playback,Alka Yagnik
Jana Ajana Pathey Cholechhi,bn,Bangla Film,Duet Playback,Kishore Kumar|Asha Bhosle
Aay Aay Chhute Aay,bn,Adhunik Bangla,Romantic Modern,Bhupen Hazarika
Oi Mahasindhur Opar Theke,bn,Bangla Film,Romantic Playback,Manna Dey
Ei Chhande Chhande Bhara,bn,Bangla Film,Duet Playback,Sandhya Mukherjee|Hemant Kumar
Dinguli Mor,bn,Rabindra Sangeet,Tagore Nostalgia,Debabrata Biswas
Hridayer Gaan Shikhe To Gaay Go Sabai,bn,Adhunik Bangla,Philosophical Modern,Manna Dey
Mone Pore Ruby Roy,bn,Adhunik Bangla,Urban Nostalgia,R. D. Burman
Tumi Jodi Thaktey,bn,Bangla Film,Romantic Playback,Kumar Sanu
Mor Bhabonare (Duet),bn,Rabindra Sangeet,Tagore Classic,Saptarshi|SAHANA BAJPEI
Namo Mata Saraswati,bn,Bangla Film,Duet Playback,Sandhya Mukherjee|Tarun Banerjee|Aarti Mukherji
O Prajapati Prajapati,bn,Bangla Film,Romantic Playback,Lata Mangeshkar
Sagar Sangame,bn,Adhunik Bangla,Romantic Modern,Bhupen Hazarika
Katha Dao Aabar Asbe,bn,Bangla Film,Romantic Playback,Manna Dey
Tomake Lagche Bhari Chena,bn,Bangla Film,Duet Playback,Bappi Lahiri|Alka Yagnik
Esho Go Jweley,bn,Rabindra Sangeet,Tagore Classic,Debabrata Biswas
Amar Sakal Raser Dhara,bn,Bangla Film,Duet Playback,Hemant Kumar|Aarti Mukherji
"Ore Bondhure, Ore Sathi Re",bn,Bangla Film,Romantic Playback,Kishore Kumar
Na Bole Esechhi,bn,Bangla Film,Romantic Playback,Aarti Mukherji
Ja Ja Ja Bhule Ja,bn,Bangla Film,Melancholy Playback,Lata Mangeshkar
Keno Je Kandao Bare Bare,bn,Bangla Film,Romantic Playback,Lata Mangeshkar
E Ki Chanchalata Jage,bn,Bangla Film,Romantic Playback,Hemant Kumar
Moner Janala Dhore Unki Diye,bn,Bangla Film,Romantic Playback,Hemant Kumar
Ogo Moner Duyare Danriye Theko Na,bn,Bangla Film,Romantic Playback,Aarti Mukherji
Kichhu To Chahini Ami,bn,Bangla Film,Romantic Playback,Lata Mangeshkar
Ektu Baso Chole Jeo Na,bn,Bangla Film,Melancholy Playback,Asha Bhosle
Akash Keno Daake,bn,Bangla Film,Romantic Playback,Kishore Kumar
Aakash Bhara,bn,Rabindra Sangeet,Tagore Nature,Debabrata Biswas
Dhoronako Shantrimoshai,bn,Children's Music,Comic Song,Anup Ghoshal
Aaj Jiban Khunje Pabi,bn,Adhunik Bangla,Romantic Modern,Bhupen Hazarika
Bhoy Dekhas Na (The Agnee Version),bn,Adhunik Bangla,Romantic Modern,Mohan Kannan
Ami Sahebo Noi Golamo Noi,bn,Bangla Film,Melancholy Playback,Hemant Kumar
Hayre Pora Banshi,bn,Bangla Film,Romantic Playback,Lata Mangeshkar
Tomader Aasare Aaj,bn,Bangla Film,Romantic Playback,Lata Mangeshkar
Amar Mon Manne Na,bn,Bangla Film,Romantic Playback,Asha Bhosle
Gun Gun Kare Mon,bn,Bangla Film,Duet Playback,Amit Kumar|Asha Bhosle
Phule Gandha Nei,bn,Bangla Film,Melancholy Playback,Asha Bhosle
Katha Hoyechhilo,bn,Bangla Film,Romantic Playback,Asha Bhosle
Ami Dukkhake Sukh Bhebe,bn,Bangla Film,Romantic Playback,Kishore Kumar
E Monihar Amay,bn,Rabindra Sangeet,Tagore Classic,Debabrata Biswas
Ek Din Aaro Gelo,bn,Bangla Film,Romantic Playback,Kishore Kumar
Na Ekhoni Noy Jabe,bn,Bangla Film,Romantic Playback,Asha Bhosle
Tomar Akash Duti Chokhe,bn,Adhunik Bangla,Romantic Modern,Nirmal Mishra
Aar Bilamba Noy,bn,Children's Music,Comic Song,Anup Ghoshal
Tumi Ele Anek Diner Pare,bn,Bangla Film,Romantic Playback,Hemant Kumar
Kajol Kajol Chokhe,bn,Bangla Film,Duet Playback,Geeta Dutt|Hemant Kumar
Tomaar Holo Shuru (db),bn,Rabindra Sangeet,Tagore Nostalgia,Debabrata Biswas
Phul Phute Jhore Jaay,bn,Bangla Film,Romantic Playback,Asha Bhosle
Ele Na Tumi Je,bn,Bangla Film,Romantic Playback,R. D. Burman
Khelbo Holi Rang Debo Na,bn,Bangla Film,Duet Playback,Asha Bhosle|Kavita Krishnamurthy
Sajani Go Premer Katha,bn,Bangla Film,Romantic Playback,R. D. Burman
Ek Din Pakhi Ure Jabe,bn,Bangla Film,Romantic Playback,Kishore Kumar
Ek Tanete Jemon Temon,bn,Bangla Folk,Folk-inspired Light,Kishore Kumar|Swapan Chakraborty
Ek Din Pakhi Ure Jabe,bn,Bangla Film,Romantic Playback,Kishore Kumar
Emon Madhur Sandhyay,bn,Bangla Film,Romantic Playback,Asha Bhosle
Aamar Bhalobasar Rajprasade,bn,Adhunik Bangla,Romantic Modern,Manna Dey
Naari Charitra Bejaay Jatil,bn,Bangla Film,Romantic Playback,Kishore Kumar
Bhalobeshe Dekei Dekho Na,bn,Bangla Film,Romantic Playback,Asha Bhosle
Gaane Bhuban Bhoriye Debe,bn,Adhunik Bangla,Romantic Modern,Shyamal Mitra
Ei Korechho Bhalo,bn,Bangla Film,Romantic Playback,Hemant Kumar
Baro Asha Kore Esechhi Go,bn,Rabindra Sangeet,Tagore Classic,Arundhati Holme Chowdhury|Hemant Kumar
Ore Batas Phulshakhate,bn,Bangla Film,Duet Playback,Sandhya Mukherjee|Hemant Kumar
Kine De Reshmi Churi,bn,Bangla Film,Romantic Playback,Asha Bhosle
Moner Naam Madhumati,bn,Bangla Film,Romantic Playback,Asha Bhosle
Nadir Paare Uthchhe Dhonya,bn,Bangla Film,Romantic Playback,R. D. Burman
Bristi Bristi Bristi,bn,Bangla Film,Romantic Playback,Lata Mangeshkar
Guru Bine Bondhu Naai Re Aar,bn,Bangla Folk,Regional Folk,Amar Pal
Cigarette Naho Tumi Swet-Pari,bn,Bangla Film,Romantic Playback,Kishore Kumar
Charon Dhorite Diyo Go (Female),bn,Rabindra Sangeet,Tagore Classic,Arundhati Holme Chowdhury
Ke Jabi Aay,bn,Bangla Film,Romantic Playback,Lata Mangeshkar
Ebar Ami Amar Theke,bn,Bangla Film,Romantic Playback,Lata Mangeshkar
Tumi Aamar Asha,bn,Bangla Film,Romantic Playback,Kishore Kumar
Chokhe Naame Brishti,bn,Bangla Film,Romantic Playback,Asha Bhosle
Ami Premer Pather Pathik,bn,Bangla Film,Romantic Playback,Kishore Kumar
Tarpar Tar Aar Par Nei,bn,Bangla Film,Melancholy Playback,Hemant Kumar
Aay Khuku Aay (Keta Na Somay),bn,Bangla Film,Duet Playback,Hemant Kumar|Sravanti Mazumder
Ektuku Chhonwa Lage,bn,Bangla Film,Romantic Playback,Kishore Kumar
Danriye Achho Tumi Amar Gaaner O Paare,bn,Bangla Film,Romantic Playback,Sandhya Mukherjee
Moyna Balo Tumi,bn,Bangla Folk,Regional Folk,Asha Bhosle
Keu Jane Na Tumi Je Amar,bn,Bangla Film,Romantic Playback,R. D. Burman
Du Chokhe Brishti,bn,Bangla Film,Romantic Playback,Alka Yagnik
Emon Ekta Jhinuk Khunje,bn,Adhunik Bangla,Romantic Modern,Nirmal Mishra
Thuilam Re Mon Padmapatay,bn,Bangla Film,Romantic Playback,Asha Bhosle
Jana Gana Mana - Military Band,bn,Adhunik Bangla,Romantic Modern,Normon Richardazz|Harbert Murril
Bone Noy Mone Mor,bn,Adhunik Bangla,Romantic Modern,Manabendra Mukherjee
