track_name,lyrics,playlist_genre,playlist_subgenre,track_artist,duration_ms,language,track_album_release_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,valence
Jodi Hoi Chorkanta,"যদি হই চোরকাঁটা লেগে থাকি তোমার আঁচলে, তবে কি তুমি আমায় ফেলে দেবে অনাদরে? আমি তো শুধু থাকতে চাই তোমারই পাশে, তোমার হাসিতে আর তোমার ঐ নিঃশ্বাসে। পৃথিবীর কেউ যেন আমাদের আলাদা না করতে পারে, আমি মিশে থাকব তোমার প্রতিটি অঙ্গে আর অন্তরে। তুমি যেখানে যাবে আমি যাবো তোমার সাথে, ছায়া হয়ে থাকব তোমার দিন আর রাতে। ভালোবাসা তো এমনই যে ছাড়তে চাই না কভু, তুমিই আমার একমাত্র কামনা আর আমারই সবটুকু।",Bangla Film,Romantic Retro,Asha Bhosle|Kishore Kumar,201000,bn,2023-04-04 00:00:00,0.95,0.75,0.011,0.817,-3.974,0.0788,154.879,0,4,0.0121
Mon-Majhi Re,"মন-মাঝি রে, আমার এই মন কেন মানে না বারণ? বারে বারে ছুটে যায় তোমারই ঐ নীল নয়নে। জীবনের এই অকূল পাথারে আমি যে একা দিশেহারা, তুমি ছাড়া আমার এই তরী যে কূলহীন নৌকার মতো। পাল তুলে দাও ওগো মাঝি আমার এই হৃদয়ের তলে, ভাসিয়ে নিয়ে চলো আমায় তোমার ঐ ভালোবাসার জলে। পৃথিবীর সব মায়া কাটিয়ে আমি তোমার হতে চাই, তোমার বুকে একটুখানি ঠাঁই যেন আমি চিরকাল পাই। মন-মাঝি রে, কথা শোনো তুমি আমার।",Bangla Folk,Folk-inspired Modern,R. D. Burman,381000,bn,2020-03-06 00:00:00,0.2,0.346,0.908,0.596,-13.29,0.01,149.93,0,7,0.0779
Tare Ami Chokhe Dekhini,"তারে আমি চোখে দেখিনি শুধু নাম শুনেছি কানে, তার কথা ভেবে আমার মন উদাস হয়ে যায় প্রতিদিনের গানে। সে কি কোনো পরী নাকি কোনো রূপসী মানবী? তাকে দেখার জন্য আমার মন হয়েছে এক পাগল কবি। লোকমুখে শুনি সে নাকি চাঁদের চেয়েও সুন্দর, তার হাসিতে নাকি ঝরে পরে ঝরনার কলতান নিরন্তর। আমার এই কল্পনা যেন একদিন সত্যি হয়, তাকে একবার দেখার পর যেন আমার জীবন ধন্য হয়। মনের মণিকোঠায় তার এক কাল্পনিক ছবি এঁকেছি আমি চিরকাল।",Adhunik Bangla,Mystical Modern,Kishore Kumar,188000,bn,2010-07-02 00:00:00,0.07,0.39,0.124,0.733,-8.649,0.08,149.983,0,10,0.02
Aamar Bhalobasar Rajprasade,"আমার ভালোবাসার রাজপ্রাসাদে আজ কেউ নেই তো আমি ছাড়া, আমার বিরহ আকাশে আজ কোনো তারা নেই তো তুমি ছাড়া। তুমি বলেছিলে আসবে আবার বসন্তের কোনো এক ভোরে, কিন্তু আজ কত ফাগুন চলে গেল তুমি তো এলে না ফিরে। আমার মনের কোণে যে দীপ জ্বলেছিল তোমার আশায়, আজ তা নিভে গেছে কেবল একাকীত্বের দীর্ঘশ্বাসে। এই পাথরের দেওয়ালে আমার দীর্ঘশ্বাস প্রতিধ্বনিত হয়, জানিনা কবে তুমি ফিরবে আর কবে কাটবে আমার এই প্রতীক্ষার ভয়। আমি যে আজ নিজের কাছেই নিজে পরবাসী হয়ে গেছি।",Adhunik Bangla,Romantic Modern,Manna Dey,216000,bn,2012-09-05 00:00:00,0.89,0.09,0.099,0.927,-2.691,0.05,153.0,0,6,0.0248
Aaj Milan Tithir Purnima Chand,"আজ মিলন তিথির পূর্ণিমা চাঁদ হাসে ঐ আকাশে, দুজনে মোরা হারাবো চলো সুদূর নীলিমার দেশে। স্বপ্নের এই বাসর ঘরে ভালোবাসার প্রদীপ জ্বলে, তোমার আমার জীবন আজ মিলেমিশে গেছে এক সুরে। পৃথিবীর সব ফুল যেন আজ আমাদের পথ রাঙিয়ে দেয়, হৃদয়ের সব না বলা কথা যেন আজ পূর্ণতা পায়। তোমার ঐ কাজল কালো চোখে আমি নিজেকে হারিয়ে ফেলি, আজ সারা রাত শুধু দুজনে মিলে ভালোবাসার কাব্য লিখি। তুমি আমার জীবনের সেই আলো যা কখনো নিভে যায় না, আমাদের এই প্রেম যেন যুগের পর যুগ অমর হয়ে থাকে চিরদিন।",Bangla Film,Romantic Retro,Kishore Kumar,262000,bn,2012-03-03 00:00:00,0.91,0.03,0.492,0.888,-6.078,0.022,149.953,0,5,0.1
Jakhan Keu Amake Pagol Bale,"যখন কেউ আমাকে পাগল বলে আমি মনে মনে হাসি, তারা তো জানে না কেন আমি তোমায় এত ভালোবাসি। পৃথিবীর নিয়ম মেনে চলে সবাই আমি চলি মনের টানে, তোমার বিরহে আমি যে আজ উদাস বাউল এই জীবনে। লোকে বলে আমি নাকি সব হারিয়ে আজ নিঃস্ব হয়েছি, তারা তো জানে না তোমার স্মৃতি আঁকড়ে আমি কী সম্পদ পেয়েছি। এই পাগলামি আমার অহংকার, এই প্রেম আমার একমাত্র সাথী। যদই এ দুনিয়া আমাকে পাগল ভাবে তবে আমি তাই হতে রাজি, শুধু যেন তোমায় পাওয়ার আশায় আমার দিন আর রাত কাটে অনাদি কাল।",Adhunik Bangla,Philosophical Modern,Manna Dey,398000,bn,2012-11-03 00:00:00,1.0,0.087,0.837,0.637,-2.736,0.03,149.948,1,5,0.0694
Coffee Houser Sei Addata Aaj Aar Nei,"কফি হাউসের সেই আড্ডাটা আজ আর নেই, আজ আর নেই। কোথায় হারিয়ে গেল সোনালী বিকেলগুলো সেই আজ আর নেই। নিখিলেশ প্যারিসে মইদুল ঢাকাতে নেই তারা আজ কোনো খবরে, অমলটা ধুঁকছে দুরন্ত ক্যান্সারে জীবনটা তার গেছে ফুরিয়ে। কত কত কথা ছিল কত ছিল গান, কত ছিল হাসি আর অভিমান। সেই গিটারের সুর আর কবিতার ছন্দে মেতে থাকা সন্ধ্যাগুলো আজ স্তব্ধ। রাজপ্রাসাদের মতো সেই কফি হাউস আজ যেন এক বিমর্ষ স্মৃতিসৌধ, যেখানে আমাদের ফেলে আসা যৌবনের দিনগুলো কেবল হাহাকার করে ফেরে জনশূন্য টেবিলে।",Adhunik Bangla,Urban Nostalgia,Manna Dey,386000,bn,2010-05-03 00:00:00,0.96,0.58,0.913,0.422,-10.165,0.088,150.133,1,1,0.06
Chokher Jaler Hoyna Kono Rang,"চোখের জলের হয় না কোনো রং, তবুও সে কত কথা বলে যায়। কখনো সে বিরহের গান গায়, কখনো আবার অব্যক্ত সুখের আভাষ দিয়ে যায়। মানুষের এই ছোট্ট জীবনে কত হাসি কত কান্না মিশে থাকে, চোখের জলেই সব দুঃখ ধুয়ে মুছে যায় একা অন্ধকারে। এই জল কোনো সীমানা মানে না, কোনো ভাষা জানে না। শুধু জানে হৃদয়ের গভীর থেকে উঠে আসা হাহাকারকে প্রকাশ করতে। যে চোখের জল একবার ঝরে যায় তা আর ফিরে আসে না, কিন্তু রেখে যায় এক গভীর স্মৃতির দহন যা মানুষকে বেঁচে থাকতে শেখায় নতুন করে।",Adhunik Bangla,Melancholic Modern,Kishore Kumar,268000,bn,2007-09-10 00:00:00,0.46,0.462,0.374,0.149,-11.128,0.09,155.028,0,1,0.041
Chirodini Tumi Je Aamar- Male,"চিরদিনই তুমি যে আমার, যুগে যুগে আমি তোমারি। তোমারই প্রেমে হয়েছি পাগল, তোমারই তরে আমি বাঁচি। এই আকাশ এই বাতাস সাক্ষী আছে আমাদের ভালোবাসার, তুমি ছাড়া আমার এ জীবন যেন এক অন্ধকার কারাগার। তুমি যে আমার জীবনের ধ্রুবতারা হয়ে আছো হৃদয়ে, তোমায় খুঁজে পাই আমি ভোরের প্রথম আলো আর স্নিগ্ধ ছায়াতে। জনম জনম ধরে আমি যেন তোমার পাশেই থাকতে পারি, আমাদের এই বন্ধন যেন কোনোদিন না যায় ছিঁড়ে। তুমি আছো বলে আজ পৃথিবীটা এত সুন্দর মনে হয়, তুমি আমার চিরদিনের এক অমলিন অক্ষয় স্বপ্ন।",Bangla Film,Romantic Film Ballad,Kishore Kumar,431000,bn,2023-08-01 00:00:00,0.4,0.92,0.873,0.408,-12.666,0.097,150.358,0,0,0.04
Jani Tomar Premer Jogyo Ami To Noi,"জানি তোমার প্রেমের যোগ্য আমি তো নই, তবুও তোমায় ভালোবেসে কেন আমি কষ্ট সই? তোমার ঐ আকাশ সমান হৃদয়ে আমার একটু ঠাঁই হবে কি? নাকি আমার এই সামান্য ভালোবাসা ধুলোয় লুটিয়ে যাবে দেখি। তুমি অনেক উঁচুতে থাকা এক উজ্জ্বল নক্ষত্র, আর আমি মাটির ধুলো মাখা এক নিঃস্ব পথিক মাত্র। তবুও মন কেন মানে না কোনো বাধা, কেন বারে বারে তোমার দিকেই ছুটে যায় প্রাণের টান। আমি জানি আমার এই স্বপ্ন কোনোদিন সত্যি হবে না, তবুও তোমায় ভেবেই আমার প্রতিটি নিঃশ্বাস বয়ে চলে অবিরত।",Adhunik Bangla,Melancholic Modern,Manna Dey,206000,bn,2020-01-11 00:00:00,0.95,0.711,0.173,0.208,-2.32,0.074,149.7,1,9,0.018
Bandhagharer Andhakare,"বন্ধ ঘরের অন্ধকারে আমি একা বসে থাকি, তোমার কথা ভাবতে ভাবতে আমার দুচোখ ভিজে যায় শ্রাবণ ধারায়। চারদিকে শুধু নিস্তব্ধতা আর আমার মনের না বলা দীর্ঘশ্বাস, এই বন্দি জীবনে তুমি ছাড়া আর কেউ নেই আমার কাছে আপন। লোহার এই গরাদগুলো যেন আমার বিরহের সাক্ষী হয়ে দাঁড়িয়ে আছে, জানিনা কবে এই অন্ধকারের শেষ হবে আর কবে আমি আবার তোমার দেখা পাবো। ভালোবাসা কেন মানুষকে এমন করে কাঁদায় আমি জানি না, শুধু জানি তোমায় ছাড়া আমার এই বেঁচে থাকা কেবল এক অর্থহীন বোঝা মাত্র।",Adhunik Bangla,Philosophical Modern,Asha Bhosle|Kishore Kumar,272000,bn,2023-11-04 00:00:00,0.99,0.12,0.018,0.479,-10.376,0.02,155.102,0,6,0.096
O Chand Samle Rakho Jochhnake,"ও চাঁদ সামলে রাখো জ্যোছনাকে, কারণ ভালোবাসা আজ নিশাচর। বনের লতা পাতা সব যেন কান পেতে আছে আমাদের হৃদয়ের কথা শুনতে। এই মায়াবী রাতে তুমি আর আমি যখন পাশাপাশি বসি, তখন পৃথিবীর সব ব্যস্ততা থেমে যায় এক মুহূর্তের জন্য। চাঁদের আলোয় তোমার মুখখানা যখন ঝলমল করে ওঠে, তখন আমার মনে হয় আমি যেন স্বর্গের কোনো অপ্সরীকে দেখছি। এই রাত যেন কখনো শেষ না হয়, এই মায়া যেন কোনোদিন না কাটে। তুমি আমার ভালোবাসার চাঁদনী, যে আমার অন্ধকার জীবনকে আলোয় ভরিয়ে দিয়েছো চিরতরে।",Adhunik Bangla,Romantic Modern,Manna Dey,191000,bn,2006-05-12 00:00:00,0.54,0.973,0.383,0.48,-5.814,0.008,149.98,0,9,0.0946
Na Na Na Kachhe Esona,"না না না কাছে এসো না, ওগো প্রিয়া আমার কাছে এসো না। আমার এই পোড়া মনে আর কোনো জায়গা নেই তোমার জন্য, তুমি আমায় অনেক দিয়েছো এখন শুধু চলে যেতে দাও। তোমার ঐ চোখের মায়া আমাকে আবার দুর্বল করে দেবে, আমি আর চাই না আগুনের খেলায় মেতে উঠতে। ভালোবাসা মানে তো শুধু পাওয়া নয়, কখনো কখনো ত্যাগের মধ্যেই সুখ লুকিয়ে থাকে। তুমি সুখী হও তোমার নিজের পৃথিবীতে, আমাকে থাকতে দাও আমার এই একাকীত্বের মাঝে। আমাদের পথের শেষ এখানেই, তাই বৃথা আর মায়া বাড়িয়ে লাভ নেই কোনো।",Bangla Film,Playful Romantic,Asha Bhosle|S. P. Balasubrahmanyam,305000,bn,2018-11-06 00:00:00,0.42,0.97,0.2,0.624,-2.053,0.0477,149.798,0,11,0.01
Sundari Go Dohai Dohai,"সুন্দরী গো দোহাই দোহাই মোরে এমন করে আর চেয়ো না, তোমার ঐ চাহনিতে আমার মন যে পাগল হয়ে যায় সে কি বোঝো না? বনের হরিণীর মতো চপল তোমার ঐ দুই চোখ, আমাকে প্রতিনিয়ত হাতছানি দিয়ে ডাকে কোনো এক অজানা দেশে। আমি এক সাধারণ মানুষ আমার হৃদয় বড়ই কাঁচের মতো নরম, তোমার প্রেমে পড়ে গেলে আমার সব সুখ শান্তি ধুলোয় মিশে যাবে। তবুও কেন তোমার ঐ হাসির ঝলক দেখলে আমি নিজেকে ভুলে যাই? তুমি কি কোনো মায়াবিনী নাকি স্বর্গের কোনো অপার্থিব দেবী? দোহাই তোমার আমায় আর কষ্ট দিও না।",Bangla Film,Playful Folk-Film,Manna Dey,198000,bn,2021-02-05 00:00:00,0.39,0.224,0.719,0.177,-9.447,0.02,155.02,0,8,0.028
Asha Chhilo Bhalobasa Chhilo,"আশা ছিল ভালোবাসা ছিল, আজ কিছু নেই শুধু স্মৃতি ছাড়া। জীবনের এই দীর্ঘ পথে চলতে গিয়ে আমি সব হারিয়ে ফেলেছি। তোমার হাত ধরে যে স্বপ্নগুলো দেখেছিলাম, আজ তা বালির ঘরের মতো ভেঙে চুরমার হয়ে গেছে। কেন এমন হয় যে যাকে সবচেয়ে বেশি ভালোবাসা যায় সে ই সবচেয়ে বেশি দূরে সরে যায়? আকাশের দিকে তাকিয়ে আজ শুধু প্রশ্ন করি বিধাতাকে, আমার কপালে কি তবে শুধুই দুঃখের লিপি লেখা ছিল? তবুও বেঁচে আছি কেবল তোমার দেওয়া সেই পুরনো দিনগুলোর মায়া আঁকড়ে ধরে, যা আজও আমাকে কাঁদায় নিভৃতে।",Adhunik Bangla,Melancholic Modern,Kishore Kumar,252000,bn,2017-05-01 00:00:00,0.4,0.82,0.687,0.598,-5.808,0.07,149.975,0,9,0.084
Hoyto Amake Karo Mone,"হয়তো আমাকে কারো মনে নেই, আমি এক সাধারণ পথিক মাত্র। পৃথিবীর এই ভিড়ে আমি হারিয়ে গেছি অনেক আগেই, আমার নাম আজ কারো ডায়েরির পাতায় লেখা নেই। আমি তো দিয়েছিলাম আমার সবটুকু উজাড় করে, বিনিময়ে পেয়েছি শুধু এক বুক শূন্যতা আর অন্ধকার। আজ যখন একাকীত্বের পথে হাঁটি তখন মনে হয় পৃথিবীটা বড়ই নিষ্ঠুর, এখানে প্রয়োজনের শেষে সবাই সবাইকে ভুলে যায় খুব সহজে। তবুও আমার কোনো অভিযোগ নেই কারো প্রতি, আমি নিজের জগতেই আজ রাজা আর আমিই আজ আমার নিজের প্রজা।",Adhunik Bangla,Romantic Modern,Kishore Kumar,229000,bn,2021-08-05 00:00:00,0.65,0.956,0.761,0.172,-4.282,0.066,149.953,0,9,0.0838
Mone Porle,"মনে পড়লে আমি তোমায় খুঁজি স্মৃতির পাতায় পাতায়, যেখানে আমাদের হাসিমাখা দিনগুলো আজও জীবন্ত হয়ে আছে। তোমার সেই চেনা কণ্ঠস্বর যেন আজও আমার কানে বাজে ভোরের বাতাসের মতো। যখন আমি খুব একা বোধ করি তখন তোমার সাথে কাটানো মুহূর্তগুলো আমার সঙ্গী হয়। ভালোবাসা তো মুছে যায় না কখনো, সে শুধু রূপ বদলে হৃদয়ের এক কোণে পড়ে থাকে শান্ত হয়ে। তুমি যেখানেই থাকো আমার এই ভালোবাসা যেন তোমায় ছুঁয়ে যায় দূর থেকে। মনে পড়লে শুধু একবার আকাশ পানে চেয়ো, দেখবে আমি নক্ষত্র হয়ে তোমায় দেখছি।",Adhunik Bangla,Romantic Modern,Arijit Singh,372000,bn,2020-01-06 00:00:00,0.03,0.18,0.479,0.557,-6.576,0.041,149.546,0,9,0.06
Gunjane Dole Je Bhramar,"গুঞ্জনে দোলে যে ভ্রমর, ফুলের কানে কানে সে যে কী কথা কয় তা কেউ জানে না। নীল আকাশে আজ রঙের মেলা, বসন্তের এই মাতাল হাওয়ায় মন যেন পাখা মেলে উড়তে চায়। বনের ছায়ায় মায়াবী মায়ায় প্রকৃতি সেজেছে নতুন সাজে। মালতী লতায় দোলা লাগে, যেন এক গোপন অনুরাগে হিয়া কাঁপে থরথর। বিরহী মন আজ খুঁজে ফেরে সেই চিরচেনা সুরকে যা হৃদয়ের গহীনে লুকিয়ে ছিল অনেকদিন। ভ্রমর তুমি গুঞ্জন থামিও না, তোমার ঐ গানের ছন্দে আজ আমার সারাদিন কেটে যাক আপন খেয়ালে। এই মধুর লগ্নে বাতাসের দোলায় মন হারায় অজানায়। নীল দিগন্তে ছড়িয়ে পড়ে সেই গুঞ্জনের প্রতিধ্বনি, যা ভালোবাসার এক নতুন পৃথিবী তৈরি করে দেয় আমাদের চারপাশে। প্রতিটি পাপড়িতে ভ্রমরের সেই স্পর্শ যেন এক পরম পাওয়া।",Bangla Film,Romantic Duet,Asha Bhosle|Kishore Kumar,255000,bn,2015-09-02 00:00:00,0.25,0.738,0.069,0.472,-11.864,0.0218,149.939,0,0,0.0807
